Timestamp;Name;Position;Rotation;Grabbed;Hand
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
6.578014;Left Hand Presence Physics;(-0.28, 0.64, 5.35);(0.00, 355.40, 0.00)
6.578014;Right Controller;(-0.08, 0.64, 5.37);(0.00, 355.40, 0.00)
6.578014;Left Controller;(-0.28, 0.64, 5.35);(0.00, 355.40, 0.00)
6.578014;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
7.079629;Right Hand Presence Physics;(0.01, 0.64, 5.48);(0.00, 16.60, 0.00)
7.079629;Left Hand Presence Physics;(-0.18, 0.64, 5.53);(0.00, 16.60, 0.00)
7.079629;Right Controller;(0.01, 0.64, 5.48);(0.00, 16.60, 0.00)
7.079629;Left Controller;(-0.18, 0.64, 5.53);(0.00, 16.60, 0.00)
7.079629;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
7.5811;Right Hand Presence Physics;(0.01, 0.64, 5.48);(0.00, 16.20, 0.00)
7.5811;Left Hand Presence Physics;(-0.18, 0.64, 5.53);(0.00, 16.20, 0.00)
7.5811;Right Controller;(0.01, 0.64, 5.48);(0.00, 16.20, 0.00)
7.5811;Left Controller;(-0.18, 0.64, 5.53);(0.00, 16.20, 0.00)
7.5811;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
8.081784;Right Hand Presence Physics;(0.03, 0.64, 5.57);(0.00, 15.60, 0.00)
8.081784;Left Hand Presence Physics;(-0.16, 0.64, 5.62);(0.00, 15.60, 0.00)
8.081784;Right Controller;(0.03, 0.64, 5.57);(0.00, 15.60, 0.00)
8.081784;Left Controller;(-0.16, 0.64, 5.62);(0.00, 15.60, 0.00)
8.081784;Rubber Cube;(-0.11, 0.55, 5.65);(359.99, 28.24, 0.00);False;
8.582072;Right Hand Presence Physics;(0.05, 0.64, 5.63);(0.00, 15.60, 0.00)
8.582072;Left Hand Presence Physics;(-0.14, 0.64, 5.68);(0.00, 15.60, 0.00)
8.582072;Right Controller;(0.05, 0.64, 5.63);(0.00, 15.60, 0.00)
8.582072;Left Controller;(-0.14, 0.64, 5.68);(0.00, 15.60, 0.00)
8.582072;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 28.24, 0.00);False;
9.08259;Right Hand Presence Physics;(0.05, 0.64, 5.63);(0.00, 15.60, 0.00)
9.08259;Left Hand Presence Physics;(-0.14, 0.64, 5.68);(0.00, 15.60, 0.00)
9.08259;Right Controller;(0.05, 0.64, 5.63);(0.00, 15.60, 0.00)
9.08259;Left Controller;(-0.14, 0.64, 5.68);(0.00, 15.60, 0.00)
9.08259;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 28.24, 0.00);False;
9.40882;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 28.24, 0.00);True;Left Hand
9.540893;Rubber Cube;(-0.11, 0.59, 5.65);(0.00, 28.24, 0.00);False;
9.582603;Right Hand Presence Physics;(0.05, 0.64, 5.63);(0.00, 15.60, 0.00)
9.582603;Left Hand Presence Physics;(-0.14, 0.64, 5.68);(0.00, 15.60, 0.00)
9.582603;Right Controller;(0.05, 0.64, 5.63);(0.00, 15.60, 0.00)
9.582603;Left Controller;(-0.14, 0.64, 5.68);(0.00, 15.60, 0.00)
9.582603;Rubber Cube;(-0.11, 0.59, 5.65);(0.00, 28.24, 0.00);False;
10.08358;Right Hand Presence Physics;(0.05, 0.64, 5.63);(0.00, 15.60, 0.00)
10.08358;Left Hand Presence Physics;(-0.14, 0.64, 5.68);(0.00, 15.60, 0.00)
10.08358;Right Controller;(0.05, 0.64, 5.63);(0.00, 15.60, 0.00)
10.08358;Left Controller;(-0.14, 0.64, 5.68);(0.00, 15.60, 0.00)
10.08358;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 28.24, 0.00);False;
10.40274;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 28.24, 0.00);True;Left Hand
10.58466;Right Hand Presence Physics;(0.05, 0.64, 5.63);(0.00, 15.60, 0.00)
10.58466;Left Hand Presence Physics;(-0.14, 0.64, 5.68);(0.00, 15.60, 0.00)
10.58466;Right Controller;(0.05, 0.64, 5.63);(0.00, 15.60, 0.00)
10.58466;Left Controller;(-0.14, 0.64, 5.68);(0.00, 15.60, 0.00)
10.58466;Rubber Cube;(-0.11, 0.59, 5.65);(0.00, 28.24, 0.00);True;Left Hand
10.63346;Rubber Cube;(-0.11, 0.59, 5.65);(0.00, 28.24, 0.00);True;Right Hand
11.08611;Right Hand Presence Physics;(0.05, 0.64, 5.63);(0.00, 15.60, 0.00)
11.08611;Left Hand Presence Physics;(-0.14, 0.64, 5.68);(0.00, 15.60, 0.00)
11.08611;Right Controller;(0.05, 0.64, 5.63);(0.00, 15.60, 0.00)
11.08611;Left Controller;(-0.14, 0.64, 5.68);(0.00, 15.60, 0.00)
11.08611;Rubber Cube;(-0.11, 0.59, 5.65);(0.00, 40.34, 0.00);True;Right Hand
11.58733;Right Hand Presence Physics;(0.05, 0.64, 5.63);(359.60, 15.40, 0.00)
11.58733;Left Hand Presence Physics;(-0.14, 0.64, 5.68);(0.00, 15.60, 0.00)
11.58733;Right Controller;(0.05, 0.64, 5.63);(359.60, 15.40, 0.00)
11.58733;Left Controller;(-0.14, 0.64, 5.68);(0.00, 15.60, 0.00)
11.58733;Rubber Cube;(-0.11, 0.59, 5.65);(0.00, 40.34, 0.00);True;Right Hand
12.08855;Right Hand Presence Physics;(0.05, 0.64, 5.63);(359.60, 15.20, 0.00)
12.08855;Left Hand Presence Physics;(-0.14, 0.64, 5.68);(0.00, 15.40, 0.00)
12.08855;Right Controller;(0.05, 0.64, 5.63);(359.60, 15.20, 0.00)
12.08855;Left Controller;(-0.14, 0.64, 5.68);(0.00, 15.40, 0.00)
12.08855;Rubber Cube;(-0.11, 0.59, 5.65);(0.00, 40.15, 0.00);True;Right Hand
12.58998;Right Hand Presence Physics;(0.09, 0.64, 5.62);(359.60, 15.20, 0.00)
12.58998;Left Hand Presence Physics;(-0.10, 0.64, 5.67);(0.00, 15.40, 0.00)
12.58998;Right Controller;(0.09, 0.64, 5.62);(359.60, 15.20, 0.00)
12.58998;Left Controller;(-0.10, 0.64, 5.67);(0.00, 15.40, 0.00)
12.58998;Rubber Cube;(-0.07, 0.59, 5.64);(0.00, 40.15, 0.00);True;Right Hand
13.10451;Right Hand Presence Physics;(0.81, 0.64, 5.12);(359.60, 74.80, 0.00)
13.10451;Left Hand Presence Physics;(0.76, 0.64, 5.31);(0.00, 75.00, 0.00)
13.10451;Right Controller;(0.81, 0.64, 5.12);(359.60, 74.80, 0.00)
13.10451;Left Controller;(0.76, 0.64, 5.31);(0.00, 75.00, 0.00)
13.10451;Rubber Cube;(0.75, 0.59, 5.27);(0.00, 99.75, 0.00);True;Right Hand
13.60711;Right Hand Presence Physics;(1.30, 0.64, 5.21);(359.60, 78.00, 0.00)
13.60711;Left Hand Presence Physics;(1.26, 0.64, 5.40);(0.00, 78.20, 0.00)
13.60711;Right Controller;(1.30, 0.64, 5.21);(359.60, 78.00, 0.00)
13.60711;Left Controller;(1.26, 0.64, 5.40);(0.00, 78.20, 0.00)
13.60711;Rubber Cube;(1.24, 0.59, 5.36);(0.00, 102.95, 0.00);True;Right Hand
14.11486;Right Hand Presence Physics;(1.77, 0.64, 5.15);(359.60, 97.60, 0.00)
14.11486;Left Hand Presence Physics;(1.80, 0.64, 5.35);(0.00, 97.80, 0.00)
14.11486;Right Controller;(1.77, 0.64, 5.15);(359.60, 97.60, 0.00)
14.11486;Left Controller;(1.80, 0.64, 5.35);(0.00, 97.80, 0.00)
14.11486;Rubber Cube;(1.77, 0.59, 5.31);(0.00, 122.55, 0.00);True;Right Hand
14.61964;Right Hand Presence Physics;(2.27, 0.64, 5.08);(359.60, 97.80, 0.00)
14.61964;Left Hand Presence Physics;(2.30, 0.64, 5.28);(0.00, 98.00, 0.00)
14.61964;Right Controller;(2.27, 0.64, 5.08);(359.60, 97.80, 0.00)
14.61964;Left Controller;(2.30, 0.64, 5.28);(0.00, 98.00, 0.00)
14.61964;Rubber Cube;(2.27, 0.59, 5.24);(0.00, 122.75, 0.00);True;Right Hand
15.1224;Right Hand Presence Physics;(2.79, 0.64, 5.05);(359.60, 89.80, 0.00)
15.1224;Left Hand Presence Physics;(2.79, 0.64, 5.25);(0.00, 90.00, 0.00)
15.1224;Right Controller;(2.79, 0.64, 5.05);(359.60, 89.80, 0.00)
15.1224;Left Controller;(2.79, 0.64, 5.25);(0.00, 90.00, 0.00)
15.1224;Rubber Cube;(2.77, 0.59, 5.22);(0.00, 114.75, 0.00);True;Right Hand
15.62477;Right Hand Presence Physics;(3.29, 0.64, 5.28);(359.60, 71.60, 0.00)
15.62477;Left Hand Presence Physics;(3.22, 0.64, 5.47);(0.00, 71.80, 0.00)
15.62477;Right Controller;(3.29, 0.64, 5.28);(359.60, 71.60, 0.00)
15.62477;Left Controller;(3.22, 0.64, 5.47);(0.00, 71.80, 0.00)
15.62477;Rubber Cube;(3.22, 0.59, 5.43);(0.00, 96.55, 0.00);True;Right Hand
16.12875;Right Hand Presence Physics;(3.76, 0.64, 5.39);(359.60, 80.20, 0.00)
16.12875;Left Hand Presence Physics;(3.73, 0.64, 5.59);(0.00, 80.40, 0.00)
16.12875;Right Controller;(3.76, 0.64, 5.39);(359.60, 80.20, 0.00)
16.12875;Left Controller;(3.73, 0.64, 5.59);(0.00, 80.40, 0.00)
16.12875;Rubber Cube;(3.71, 0.59, 5.54);(0.00, 105.15, 0.00);True;Right Hand
16.63988;Right Hand Presence Physics;(4.26, 0.64, 5.47);(359.60, 80.40, 0.00)
16.63988;Left Hand Presence Physics;(4.23, 0.64, 5.67);(0.00, 80.60, 0.00)
16.63988;Right Controller;(4.26, 0.64, 5.47);(359.60, 80.40, 0.00)
16.63988;Left Controller;(4.23, 0.64, 5.67);(0.00, 80.60, 0.00)
16.63988;Rubber Cube;(4.21, 0.59, 5.63);(0.00, 105.35, 0.00);True;Right Hand
17.14505;Right Hand Presence Physics;(4.77, 0.64, 5.55);(359.60, 80.40, 0.00)
17.14505;Left Hand Presence Physics;(4.73, 0.64, 5.75);(0.00, 80.60, 0.00)
17.14505;Right Controller;(4.77, 0.64, 5.55);(359.60, 80.40, 0.00)
17.14505;Left Controller;(4.73, 0.64, 5.75);(0.00, 80.60, 0.00)
17.14505;Rubber Cube;(4.72, 0.59, 5.71);(0.00, 105.35, 0.00);True;Right Hand
17.65013;Right Hand Presence Physics;(5.29, 0.64, 5.50);(359.60, 80.40, 0.00)
17.65013;Left Hand Presence Physics;(5.26, 0.64, 5.69);(0.00, 80.60, 0.00)
17.65013;Right Controller;(5.29, 0.64, 5.50);(359.60, 80.40, 0.00)
17.65013;Left Controller;(5.26, 0.64, 5.69);(0.00, 80.60, 0.00)
17.65013;Rubber Cube;(5.24, 0.59, 5.65);(0.00, 105.35, 0.00);True;Right Hand
18.15475;Right Hand Presence Physics;(5.81, 0.64, 5.44);(359.60, 80.40, 0.00)
18.15475;Left Hand Presence Physics;(5.78, 0.64, 5.64);(0.00, 80.60, 0.00)
18.15475;Right Controller;(5.81, 0.64, 5.44);(359.60, 80.40, 0.00)
18.15475;Left Controller;(5.78, 0.64, 5.64);(0.00, 80.60, 0.00)
18.15475;Rubber Cube;(5.76, 0.59, 5.60);(0.00, 105.35, 0.00);True;Right Hand
18.66967;Right Hand Presence Physics;(6.37, 0.64, 5.20);(359.60, 80.40, 0.00)
18.66967;Left Hand Presence Physics;(6.34, 0.64, 5.40);(0.00, 80.60, 0.00)
18.66967;Right Controller;(6.37, 0.64, 5.20);(359.60, 80.40, 0.00)
18.66967;Left Controller;(6.34, 0.64, 5.40);(0.00, 80.60, 0.00)
18.66967;Rubber Cube;(6.32, 0.59, 5.35);(0.00, 105.35, 0.00);True;Right Hand
19.18427;Right Hand Presence Physics;(6.93, 0.64, 4.95);(359.60, 80.40, 0.00)
19.18427;Left Hand Presence Physics;(6.90, 0.64, 5.15);(0.00, 80.60, 0.00)
19.18427;Right Controller;(6.93, 0.64, 4.95);(359.60, 80.40, 0.00)
19.18427;Left Controller;(6.90, 0.64, 5.15);(0.00, 80.60, 0.00)
19.18427;Rubber Cube;(6.88, 0.59, 5.11);(0.00, 105.35, 0.00);True;Right Hand
19.68838;Right Hand Presence Physics;(7.43, 0.64, 5.03);(359.60, 80.40, 0.00)
19.68838;Left Hand Presence Physics;(7.40, 0.64, 5.23);(0.00, 80.60, 0.00)
19.68838;Right Controller;(7.43, 0.64, 5.03);(359.60, 80.40, 0.00)
19.68838;Left Controller;(7.40, 0.64, 5.23);(0.00, 80.60, 0.00)
19.68838;Rubber Cube;(7.38, 0.59, 5.19);(0.00, 105.35, 0.00);True;Right Hand
20.19748;Right Hand Presence Physics;(7.93, 0.64, 5.12);(359.60, 80.40, 0.00)
20.19748;Left Hand Presence Physics;(7.90, 0.64, 5.31);(0.00, 80.60, 0.00)
20.19748;Right Controller;(7.93, 0.64, 5.12);(359.60, 80.40, 0.00)
20.19748;Left Controller;(7.90, 0.64, 5.31);(0.00, 80.60, 0.00)
20.19748;Rubber Cube;(7.88, 0.59, 5.27);(0.00, 105.35, 0.00);True;Right Hand
20.70604;Right Hand Presence Physics;(8.43, 0.64, 5.20);(359.60, 80.40, 0.00)
20.70604;Left Hand Presence Physics;(8.40, 0.64, 5.40);(0.00, 80.60, 0.00)
20.70604;Right Controller;(8.43, 0.64, 5.20);(359.60, 80.40, 0.00)
20.70604;Left Controller;(8.40, 0.64, 5.40);(0.00, 80.60, 0.00)
20.70604;Rubber Cube;(8.38, 0.59, 5.35);(0.00, 105.35, 0.00);True;Right Hand
21.22255;Right Hand Presence Physics;(8.99, 0.64, 5.00);(359.60, 80.40, 0.00)
21.22255;Left Hand Presence Physics;(8.95, 0.64, 5.20);(0.00, 80.60, 0.00)
21.22255;Right Controller;(8.99, 0.64, 5.00);(359.60, 80.40, 0.00)
21.22255;Left Controller;(8.95, 0.64, 5.20);(0.00, 80.60, 0.00)
21.22255;Rubber Cube;(8.94, 0.59, 5.16);(0.00, 105.35, 0.00);True;Right Hand
21.72386;Right Hand Presence Physics;(9.49, 0.64, 5.08);(359.60, 80.40, 0.00)
21.72386;Left Hand Presence Physics;(9.45, 0.64, 5.28);(0.00, 80.60, 0.00)
21.72386;Right Controller;(9.49, 0.64, 5.08);(359.60, 80.40, 0.00)
21.72386;Left Controller;(9.45, 0.64, 5.28);(0.00, 80.60, 0.00)
21.72386;Rubber Cube;(9.44, 0.59, 5.24);(0.00, 105.35, 0.00);True;Right Hand
22.2262;Right Hand Presence Physics;(9.98, 0.64, 5.17);(359.60, 80.40, 0.00)
22.2262;Left Hand Presence Physics;(9.95, 0.64, 5.36);(0.00, 80.60, 0.00)
22.2262;Right Controller;(9.98, 0.64, 5.17);(359.60, 80.40, 0.00)
22.2262;Left Controller;(9.95, 0.64, 5.36);(0.00, 80.60, 0.00)
22.2262;Rubber Cube;(9.93, 0.59, 5.32);(0.00, 105.35, 0.00);True;Right Hand
22.72778;Right Hand Presence Physics;(10.49, 0.64, 5.16);(359.60, 80.40, 0.00)
22.72778;Left Hand Presence Physics;(10.46, 0.64, 5.35);(0.00, 80.60, 0.00)
22.72778;Right Controller;(10.49, 0.64, 5.16);(359.60, 80.40, 0.00)
22.72778;Left Controller;(10.46, 0.64, 5.35);(0.00, 80.60, 0.00)
22.72778;Rubber Cube;(10.44, 0.59, 5.31);(0.00, 105.35, 0.00);True;Right Hand
23.23658;Right Hand Presence Physics;(11.05, 0.64, 4.87);(359.60, 80.40, 0.00)
23.23658;Left Hand Presence Physics;(11.02, 0.64, 5.07);(0.00, 80.60, 0.00)
23.23658;Right Controller;(11.05, 0.64, 4.87);(359.60, 80.40, 0.00)
23.23658;Left Controller;(11.02, 0.64, 5.07);(0.00, 80.60, 0.00)
23.23658;Rubber Cube;(11.00, 0.59, 5.02);(0.00, 105.35, 0.00);True;Right Hand
23.74863;Right Hand Presence Physics;(11.56, 0.64, 4.95);(359.60, 80.40, 0.00)
23.74863;Left Hand Presence Physics;(11.53, 0.64, 5.15);(0.00, 80.60, 0.00)
23.74863;Right Controller;(11.56, 0.64, 4.95);(359.60, 80.40, 0.00)
23.74863;Left Controller;(11.53, 0.64, 5.15);(0.00, 80.60, 0.00)
23.74863;Rubber Cube;(11.51, 0.59, 5.11);(0.00, 105.35, 0.00);True;Right Hand
24.25838;Right Hand Presence Physics;(12.06, 0.64, 5.04);(359.60, 80.40, 0.00)
24.25838;Left Hand Presence Physics;(12.03, 0.64, 5.23);(0.00, 80.60, 0.00)
24.25838;Right Controller;(12.06, 0.64, 5.04);(359.60, 80.40, 0.00)
24.25838;Left Controller;(12.03, 0.64, 5.23);(0.00, 80.60, 0.00)
24.25838;Rubber Cube;(12.01, 0.59, 5.19);(0.00, 105.35, 0.00);True;Right Hand
24.76752;Right Hand Presence Physics;(12.57, 0.64, 5.12);(359.60, 80.40, 0.00)
24.76752;Left Hand Presence Physics;(12.53, 0.64, 5.32);(0.00, 80.60, 0.00)
24.76752;Right Controller;(12.57, 0.64, 5.12);(359.60, 80.40, 0.00)
24.76752;Left Controller;(12.53, 0.64, 5.32);(0.00, 80.60, 0.00)
24.76752;Rubber Cube;(12.51, 0.59, 5.27);(0.00, 105.35, 0.00);True;Right Hand
25.27782;Right Hand Presence Physics;(13.07, 0.64, 5.18);(359.60, 83.80, 0.00)
25.27782;Left Hand Presence Physics;(13.04, 0.64, 5.37);(0.00, 84.00, 0.00)
25.27782;Right Controller;(13.07, 0.64, 5.18);(359.60, 83.80, 0.00)
25.27782;Left Controller;(13.04, 0.64, 5.37);(0.00, 84.00, 0.00)
25.27782;Rubber Cube;(13.02, 0.59, 5.33);(0.00, 108.66, 0.00);True;Right Hand
25.78735;Right Hand Presence Physics;(13.56, 0.64, 5.36);(359.60, 72.60, 0.00)
25.78735;Left Hand Presence Physics;(13.50, 0.64, 5.56);(0.00, 72.80, 0.00)
25.78735;Right Controller;(13.56, 0.64, 5.36);(359.60, 72.60, 0.00)
25.78735;Left Controller;(13.50, 0.64, 5.56);(0.00, 72.80, 0.00)
25.78735;Rubber Cube;(13.49, 0.59, 5.51);(0.00, 97.55, 0.00);True;Right Hand
26.30164;Right Hand Presence Physics;(14.06, 0.64, 5.38);(359.60, 86.40, 0.00)
26.30164;Left Hand Presence Physics;(14.04, 0.64, 5.58);(0.00, 86.60, 0.00)
26.30164;Right Controller;(14.06, 0.64, 5.38);(359.60, 86.40, 0.00)
26.30164;Left Controller;(14.04, 0.64, 5.58);(0.00, 86.60, 0.00)
26.30164;Rubber Cube;(14.02, 0.59, 5.54);(0.00, 111.35, 0.00);True;Right Hand
26.8126;Right Hand Presence Physics;(14.57, 0.64, 5.28);(359.60, 87.00, 0.00)
26.8126;Left Hand Presence Physics;(14.56, 0.64, 5.48);(0.00, 87.20, 0.00)
26.8126;Right Controller;(14.57, 0.64, 5.28);(359.60, 87.00, 0.00)
26.8126;Left Controller;(14.56, 0.64, 5.48);(0.00, 87.20, 0.00)
26.8126;Rubber Cube;(14.54, 0.59, 5.44);(0.00, 111.95, 0.00);True;Right Hand
27.32229;Right Hand Presence Physics;(15.08, 0.64, 5.31);(359.60, 86.80, 0.00)
27.32229;Left Hand Presence Physics;(15.07, 0.64, 5.51);(0.00, 87.00, 0.00)
27.32229;Right Controller;(15.08, 0.64, 5.31);(359.60, 86.80, 0.00)
27.32229;Left Controller;(15.07, 0.64, 5.51);(0.00, 87.00, 0.00)
27.32229;Rubber Cube;(15.20, 0.60, 5.47);(359.98, 112.71, 359.99);True;Right Hand
27.82749;Right Hand Presence Physics;(14.87, 0.64, 5.30);(359.60, 83.00, 0.00)
27.82749;Left Hand Presence Physics;(14.85, 0.64, 5.50);(0.00, 83.20, 0.00)
27.82749;Right Controller;(14.87, 0.64, 5.30);(359.60, 83.00, 0.00)
27.82749;Left Controller;(14.85, 0.64, 5.50);(0.00, 83.20, 0.00)
27.82749;Rubber Cube;(14.66, 0.59, 5.43);(5.66, 53.41, 318.92);True;Right Hand
28.33918;Right Hand Presence Physics;(14.36, 0.64, 5.24);(359.60, 83.00, 0.00)
28.33918;Left Hand Presence Physics;(14.34, 0.64, 5.44);(0.00, 83.20, 0.00)
28.33918;Right Controller;(14.36, 0.64, 5.24);(359.60, 83.00, 0.00)
28.33918;Left Controller;(14.34, 0.64, 5.44);(0.00, 83.20, 0.00)
28.33918;Rubber Cube;(14.32, 0.59, 5.40);(0.00, 107.95, 0.00);True;Right Hand
28.83965;Right Hand Presence Physics;(14.37, 0.64, 5.34);(359.60, 65.60, 0.00)
28.83965;Left Hand Presence Physics;(14.29, 0.64, 5.52);(0.00, 65.80, 0.00)
28.83965;Right Controller;(14.37, 0.64, 5.34);(359.60, 65.00, 0.00)
28.83965;Left Controller;(14.28, 0.64, 5.52);(0.00, 65.20, 0.00)
28.83965;Rubber Cube;(14.28, 0.59, 5.48);(0.00, 90.55, 0.00);True;Right Hand
29.34365;Right Hand Presence Physics;(14.75, 0.64, 5.53);(359.60, 64.40, 0.00)
29.34365;Left Hand Presence Physics;(14.67, 0.64, 5.71);(0.00, 64.60, 0.00)
29.34365;Right Controller;(14.75, 0.64, 5.53);(359.60, 64.40, 0.00)
29.34365;Left Controller;(14.67, 0.64, 5.71);(0.00, 64.60, 0.00)
29.34365;Rubber Cube;(14.66, 0.59, 5.66);(0.00, 89.35, 0.00);True;Right Hand
29.85136;Right Hand Presence Physics;(14.82, 0.64, 5.56);(359.60, 64.40, 0.00)
29.85136;Left Hand Presence Physics;(14.73, 0.64, 5.74);(0.00, 64.60, 0.00)
