Timestamp;Name;Position;Rotation;Grabbed;Hand
4.020259;Right Hand Presence Physics;(0.08, 1.31, 1.29);(0.00, 1.40, 0.00)
4.020259;Left Hand Presence Physics;(-0.12, 1.31, 1.29);(0.00, 1.40, 0.00)
4.020259;Right Controller;(0.08, 1.31, 1.29);(0.00, 1.40, 0.00)
4.020259;Left Controller;(-0.12, 1.31, 1.29);(0.00, 1.40, 0.00)
4.020259;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
4.520611;Right Hand Presence Physics;(0.09, 1.05, 1.80);(0.00, 1.40, 0.00)
4.520611;Left Hand Presence Physics;(-0.11, 1.05, 1.81);(0.00, 1.40, 0.00)
4.520611;Right Controller;(0.09, 1.05, 1.80);(0.00, 1.40, 0.00)
4.520611;Left Controller;(-0.11, 1.05, 1.81);(0.00, 1.40, 0.00)
4.520611;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
5.034633;Right Hand Presence Physics;(0.10, 1.05, 2.30);(0.00, 1.40, 0.00)
5.034633;Left Hand Presence Physics;(-0.10, 1.05, 2.31);(0.00, 1.40, 0.00)
5.034633;Right Controller;(0.10, 1.05, 2.30);(0.00, 1.40, 0.00)
5.034633;Left Controller;(-0.10, 1.05, 2.31);(0.00, 1.40, 0.00)
5.034633;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
5.534832;Right Hand Presence Physics;(0.11, 0.87, 2.80);(0.00, 1.20, 0.00)
5.534832;Left Hand Presence Physics;(-0.09, 0.87, 2.81);(0.00, 1.20, 0.00)
5.534832;Right Controller;(0.11, 0.87, 2.80);(0.00, 1.20, 0.00)
5.534832;Left Controller;(-0.09, 0.87, 2.81);(0.00, 1.20, 0.00)
5.534832;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
6.038529;Right Hand Presence Physics;(-0.13, 0.87, 3.30);(0.00, 343.00, 0.00)
6.038529;Left Hand Presence Physics;(-0.32, 0.87, 3.24);(0.00, 343.00, 0.00)
6.038529;Right Controller;(-0.13, 0.87, 3.30);(0.00, 343.00, 0.00)
6.038529;Left Controller;(-0.32, 0.87, 3.24);(0.00, 343.00, 0.00)
6.038529;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
6.5464;Right Hand Presence Physics;(-0.08, 0.87, 3.78);(0.00, 1.80, 0.00)
6.5464;Left Hand Presence Physics;(-0.28, 0.87, 3.79);(0.00, 1.80, 0.00)
6.5464;Right Controller;(-0.08, 0.87, 3.78);(0.00, 1.80, 0.00)
6.5464;Left Controller;(-0.28, 0.87, 3.79);(0.00, 1.80, 0.00)
6.5464;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
7.048528;Right Hand Presence Physics;(-0.06, 0.76, 4.28);(0.00, 1.80, 0.00)
7.048528;Left Hand Presence Physics;(-0.26, 0.76, 4.29);(0.00, 1.80, 0.00)
7.048528;Right Controller;(-0.06, 0.76, 4.30);(0.00, 1.80, 0.00)
7.048528;Left Controller;(-0.26, 0.76, 4.31);(0.00, 1.80, 0.00)
7.048528;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
7.561088;Right Hand Presence Physics;(-0.05, 0.76, 4.80);(0.00, 1.80, 0.00)
7.561088;Left Hand Presence Physics;(-0.25, 0.76, 4.81);(0.00, 1.80, 0.00)
7.561088;Right Controller;(-0.05, 0.76, 4.80);(0.00, 1.80, 0.00)
7.561088;Left Controller;(-0.25, 0.76, 4.81);(0.00, 1.80, 0.00)
7.561088;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
8.066921;Right Hand Presence Physics;(-0.04, 0.76, 5.31);(0.00, 1.00, 0.00)
8.066921;Left Hand Presence Physics;(-0.24, 0.76, 5.31);(0.00, 1.00, 0.00)
8.066921;Right Controller;(-0.04, 0.76, 5.31);(0.00, 1.00, 0.00)
8.066921;Left Controller;(-0.24, 0.76, 5.31);(0.00, 1.00, 0.00)
8.066921;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
8.567357;Right Hand Presence Physics;(-0.02, 0.76, 5.54);(0.00, 4.40, 0.00)
8.567357;Left Hand Presence Physics;(-0.22, 0.76, 5.55);(0.00, 4.40, 0.00)
8.567357;Right Controller;(-0.02, 0.76, 5.54);(0.00, 4.40, 0.00)
8.567357;Left Controller;(-0.22, 0.76, 5.55);(0.00, 4.40, 0.00)
8.567357;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
9.068768;Right Hand Presence Physics;(0.04, 0.76, 5.64);(0.00, 10.80, 0.00)
9.068768;Left Hand Presence Physics;(-0.16, 0.76, 5.67);(0.00, 10.80, 0.00)
9.068768;Right Controller;(0.04, 0.76, 5.64);(0.00, 10.80, 0.00)
9.068768;Left Controller;(-0.16, 0.76, 5.67);(0.00, 10.80, 0.00)
9.068768;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
9.569786;Right Hand Presence Physics;(0.01, 0.65, 5.65);(0.00, 5.00, 0.00)
9.569786;Left Hand Presence Physics;(-0.19, 0.65, 5.67);(0.00, 5.00, 0.00)
9.569786;Right Controller;(0.01, 0.65, 5.65);(0.00, 5.00, 0.00)
9.569786;Left Controller;(-0.19, 0.65, 5.67);(0.00, 5.00, 0.00)
9.569786;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
10.06996;Right Hand Presence Physics;(0.01, 0.65, 5.65);(0.00, 5.00, 0.00)
10.06996;Left Hand Presence Physics;(-0.19, 0.65, 5.67);(0.00, 5.00, 0.00)
10.06996;Right Controller;(0.01, 0.65, 5.65);(0.00, 5.00, 0.00)
10.06996;Left Controller;(-0.19, 0.65, 5.67);(0.00, 5.00, 0.00)
10.06996;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
10.57095;Right Hand Presence Physics;(0.01, 0.65, 5.65);(0.00, 5.00, 0.00)
10.57095;Left Hand Presence Physics;(-0.19, 0.65, 5.67);(359.20, 5.80, 0.00)
10.57095;Right Controller;(0.01, 0.65, 5.65);(0.00, 5.00, 0.00)
10.57095;Left Controller;(-0.19, 0.65, 5.67);(359.20, 5.80, 0.00)
10.57095;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
10.90092;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);True;Left Hand
11.07153;Right Hand Presence Physics;(0.01, 0.65, 5.65);(0.00, 5.00, 0.00)
11.07153;Left Hand Presence Physics;(-0.19, 0.65, 5.67);(359.00, 5.80, 0.00)
11.07153;Right Controller;(0.01, 0.65, 5.65);(0.00, 5.00, 0.00)
11.07153;Left Controller;(-0.19, 0.65, 5.67);(359.00, 5.80, 0.00)
11.07153;Sponge Cube;(-0.14, 0.60, 5.65);(270.19, 185.80, 174.20);True;Left Hand
11.58637;Right Hand Presence Physics;(0.01, 0.65, 5.65);(0.00, 5.00, 0.00)
11.58637;Left Hand Presence Physics;(-0.19, 0.65, 5.67);(359.00, 5.80, 0.00)
11.58637;Right Controller;(0.01, 0.65, 5.65);(0.00, 5.00, 0.00)
11.58637;Left Controller;(-0.19, 0.65, 5.67);(359.00, 5.80, 0.00)
11.58637;Sponge Cube;(-0.14, 0.60, 5.65);(270.19, 185.80, 174.20);True;Left Hand
11.60081;Sponge Cube;(-0.14, 0.60, 5.65);(270.19, 185.80, 174.20);True;Right Hand
12.08711;Right Hand Presence Physics;(0.01, 0.65, 5.65);(0.00, 5.00, 0.00)
12.08711;Left Hand Presence Physics;(-0.19, 0.65, 5.67);(359.00, 5.80, 0.00)
12.08711;Right Controller;(0.01, 0.65, 5.65);(0.00, 5.00, 0.00)
12.08711;Left Controller;(-0.19, 0.65, 5.67);(359.00, 5.80, 0.00)
12.08711;Sponge Cube;(-0.14, 0.60, 5.66);(270.20, 186.41, 168.70);True;Right Hand
12.59956;Right Hand Presence Physics;(0.22, 0.65, 5.44);(0.00, 46.40, 0.00)
12.59956;Left Hand Presence Physics;(0.09, 0.65, 5.59);(359.00, 47.20, 0.00)
12.59956;Right Controller;(0.22, 0.65, 5.44);(0.00, 46.40, 0.00)
12.59956;Left Controller;(0.09, 0.65, 5.59);(359.00, 47.20, 0.00)
12.59956;Sponge Cube;(0.11, 0.60, 5.54);(270.20, 227.81, 168.70);True;Right Hand
13.10448;Right Hand Presence Physics;(0.79, 0.65, 5.01);(0.00, 67.40, 0.00)
13.10448;Left Hand Presence Physics;(0.72, 0.65, 5.20);(359.00, 68.20, 0.00)
13.10448;Right Controller;(0.79, 0.65, 5.01);(0.00, 67.40, 0.00)
13.10448;Left Controller;(0.72, 0.65, 5.20);(359.00, 68.20, 0.00)
13.10448;Sponge Cube;(0.73, 0.60, 5.15);(270.20, 248.81, 168.70);True;Right Hand
13.61923;Right Hand Presence Physics;(1.34, 0.65, 5.07);(0.00, 51.60, 0.00)
13.61923;Left Hand Presence Physics;(1.22, 0.65, 5.23);(359.00, 52.40, 0.00)
13.61923;Right Controller;(1.34, 0.65, 5.07);(0.00, 51.60, 0.00)
13.61923;Left Controller;(1.22, 0.65, 5.23);(359.00, 52.40, 0.00)
13.61923;Sponge Cube;(1.25, 0.60, 5.18);(270.20, 233.19, 168.70);True;Right Hand
14.12609;Right Hand Presence Physics;(1.54, 0.65, 5.61);(0.00, 23.00, 0.00)
14.12609;Left Hand Presence Physics;(1.36, 0.65, 5.69);(359.00, 23.80, 0.00)
14.12609;Right Controller;(1.54, 0.65, 5.61);(0.00, 23.00, 0.00)
14.12609;Left Controller;(1.36, 0.65, 5.69);(359.00, 23.80, 0.00)
14.12609;Sponge Cube;(1.41, 0.60, 5.66);(270.20, 204.41, 168.70);True;Right Hand
14.6327;Right Hand Presence Physics;(1.61, 0.65, 6.14);(0.00, 10.40, 0.00)
14.6327;Left Hand Presence Physics;(1.41, 0.65, 6.18);(359.00, 11.20, 0.00)
14.6327;Right Controller;(1.61, 0.65, 6.14);(0.00, 10.40, 0.00)
14.6327;Left Controller;(1.41, 0.65, 6.18);(359.00, 11.20, 0.00)
14.6327;Sponge Cube;(1.46, 0.60, 6.16);(270.20, 191.81, 168.70);True;Right Hand
15.13616;Right Hand Presence Physics;(1.53, 0.65, 6.68);(0.00, 345.00, 0.00)
15.13616;Left Hand Presence Physics;(1.33, 0.65, 6.63);(359.00, 345.80, 0.00)
15.13616;Right Controller;(1.53, 0.65, 6.68);(0.00, 345.00, 0.00)
15.13616;Left Controller;(1.33, 0.65, 6.63);(359.00, 345.80, 0.00)
15.13616;Sponge Cube;(1.39, 0.60, 6.63);(270.20, 166.41, 168.70);True;Right Hand
15.37049;Sponge Cube;(1.58, 0.60, 6.90);(270.20, 191.81, 168.70);False;
15.64319;Right Hand Presence Physics;(2.24, 0.65, 7.31);(0.00, 10.40, 0.00)
15.64319;Left Hand Presence Physics;(2.04, 0.65, 7.34);(357.00, 20.00, 0.00)
15.64319;Right Controller;(2.24, 0.66, 7.35);(0.00, 10.40, 0.00)
15.64319;Left Controller;(2.05, 0.66, 7.38);(357.00, 20.00, 0.00)
15.64319;Sponge Cube;(2.19, 0.61, 7.30);(270.20, 191.81, 168.70);False;
16.14419;Right Hand Presence Physics;(2.26, 0.65, 7.43);(0.00, 10.40, 0.00)
16.14419;Left Hand Presence Physics;(2.06, 0.65, 7.47);(1.60, 48.20, 0.00)
16.14419;Right Controller;(2.26, 0.66, 7.44);(0.00, 10.40, 0.00)
16.14419;Left Controller;(2.06, 0.66, 7.48);(1.60, 48.20, 0.00)
16.14419;Sponge Cube;(2.21, 0.61, 7.42);(270.20, 191.81, 168.70);False;
16.50389;Sponge Cube;(2.36, 0.61, 8.28);(270.20, 191.81, 168.70);False;
16.65068;Right Hand Presence Physics;(2.48, 0.65, 8.65);(354.40, 80.00, 0.00)
16.65068;Left Hand Presence Physics;(2.28, 0.65, 8.69);(5.80, 23.19, 0.00)
16.65068;Right Controller;(2.49, 0.66, 8.69);(354.40, 80.00, 0.00)
16.65068;Left Controller;(2.29, 0.66, 8.73);(5.80, 23.20, 0.00)
16.65068;Sponge Cube;(2.46, 0.50, 8.79);(270.20, 191.81, 168.70);False;
17.16081;Right Hand Presence Physics;(7.72, 0.65, 11.27);(356.60, 91.60, 0.00)
17.16081;Left Hand Presence Physics;(7.65, 0.65, 11.45);(5.80, 81.80, 0.00)
17.16081;Right Controller;(7.76, 0.66, 11.28);(356.60, 91.60, 0.00)
17.16081;Left Controller;(7.69, 0.66, 11.47);(5.80, 81.80, 0.00)
17.16081;Sponge Cube;(2.59, 0.05, 9.81);(358.99, 150.11, 0.51);False;
17.67446;Right Hand Presence Physics;(7.65, 0.67, 11.40);(330.75, 300.26, 353.37)
17.67446;Left Hand Presence Physics;(7.79, 0.64, 11.49);(54.46, 78.83, 123.42)
17.67446;Right Controller;(7.49, 0.66, 11.27);(359.40, 262.60, 0.00)
17.67446;Left Controller;(7.56, 0.66, 11.08);(5.80, 261.80, 0.00)
17.67446;Sponge Cube;(2.60, 0.05, 9.87);(359.39, 158.31, 0.64);False;
18.17946;Right Hand Presence Physics;(6.35, 0.65, 10.83);(359.40, 262.60, 0.00)
18.17946;Left Hand Presence Physics;(6.42, 0.65, 10.64);(5.80, 261.80, 0.00)
18.17946;Right Controller;(6.31, 0.66, 10.81);(359.40, 262.60, 0.00)
18.17946;Left Controller;(6.39, 0.66, 10.63);(5.80, 261.80, 0.00)
18.17946;Sponge Cube;(2.60, 0.05, 9.88);(359.71, 158.05, 0.33);False;
18.67999;Right Hand Presence Physics;(5.18, 0.65, 10.38);(359.40, 262.60, 0.00)
18.67999;Left Hand Presence Physics;(5.25, 0.65, 10.19);(5.80, 261.80, 0.00)
18.67999;Right Controller;(5.15, 0.66, 10.37);(359.40, 262.60, 0.00)
18.67999;Left Controller;(5.22, 0.66, 10.18);(5.80, 261.80, 0.00)
18.67999;Sponge Cube;(2.60, 0.05, 9.88);(359.71, 158.05, 0.33);False;
19.19436;Right Hand Presence Physics;(3.98, 0.65, 9.92);(359.60, 264.20, 0.00)
19.19436;Left Hand Presence Physics;(4.05, 0.65, 9.73);(5.80, 261.80, 0.00)
19.19436;Right Controller;(3.94, 0.66, 9.91);(359.60, 264.20, 0.00)
19.19436;Left Controller;(4.02, 0.66, 9.72);(5.80, 261.80, 0.00)
19.19436;Sponge Cube;(2.60, 0.05, 9.88);(359.71, 158.05, 0.33);False;
19.70591;Right Hand Presence Physics;(2.79, 0.65, 9.46);(359.60, 263.00, 0.00)
19.70591;Left Hand Presence Physics;(2.86, 0.65, 9.27);(5.80, 261.80, 0.00)
19.70591;Right Controller;(2.75, 0.66, 9.45);(359.60, 263.00, 0.00)
19.70591;Left Controller;(2.82, 0.66, 9.26);(5.80, 261.80, 0.00)
19.70591;Sponge Cube;(2.60, 0.05, 9.88);(359.71, 158.05, 0.33);False;
20.21837;Right Hand Presence Physics;(1.59, 0.65, 9.00);(359.60, 262.80, 0.00)
20.21837;Left Hand Presence Physics;(1.66, 0.65, 8.82);(5.80, 262.00, 0.00)
20.21837;Right Controller;(1.55, 0.66, 8.99);(359.60, 262.80, 0.00)
20.21837;Left Controller;(1.63, 0.66, 8.80);(5.80, 262.00, 0.00)
20.21837;Sponge Cube;(2.60, 0.05, 9.88);(359.71, 158.05, 0.33);False;
20.72126;Right Hand Presence Physics;(0.42, 0.65, 8.56);(359.60, 262.80, 0.00)
20.72126;Left Hand Presence Physics;(0.49, 0.65, 8.37);(5.80, 262.00, 0.00)
20.72126;Right Controller;(0.38, 0.66, 8.54);(359.60, 262.80, 0.00)
20.72126;Left Controller;(0.45, 0.66, 8.36);(5.80, 262.00, 0.00)
20.72126;Sponge Cube;(2.60, 0.05, 9.88);(359.71, 158.05, 0.33);False;
21.22469;Right Hand Presence Physics;(-0.76, 0.65, 8.11);(359.60, 262.80, 0.00)
21.22469;Left Hand Presence Physics;(-0.69, 0.65, 7.92);(5.80, 262.00, 0.00)
21.22469;Right Controller;(-0.80, 0.66, 8.10);(359.60, 262.80, 0.00)
21.22469;Left Controller;(-0.73, 0.66, 7.91);(5.80, 262.00, 0.00)
21.22469;Sponge Cube;(2.60, 0.05, 9.88);(359.71, 158.05, 0.33);False;
21.72594;Right Hand Presence Physics;(-1.93, 0.65, 7.67);(359.60, 262.80, 0.00)
21.72594;Left Hand Presence Physics;(-1.86, 0.65, 7.48);(5.80, 262.00, 0.00)
21.72594;Right Controller;(-1.97, 0.66, 7.65);(359.60, 262.80, 0.00)
21.72594;Left Controller;(-1.90, 0.66, 7.46);(5.80, 262.00, 0.00)
21.72594;Sponge Cube;(2.60, 0.05, 9.88);(359.71, 158.05, 0.33);False;
22.22843;Right Hand Presence Physics;(-3.09, 0.65, 7.22);(359.60, 262.80, 0.00)
22.22843;Left Hand Presence Physics;(-3.02, 0.65, 7.04);(5.80, 262.00, 0.00)
22.22843;Right Controller;(-3.14, 0.66, 7.20);(359.60, 262.80, 0.00)
22.22843;Left Controller;(-3.07, 0.66, 7.02);(5.80, 262.00, 0.00)
22.22843;Sponge Cube;(2.60, 0.05, 9.88);(359.71, 158.05, 0.33);False;
22.73893;Right Hand Presence Physics;(-4.30, 0.65, 6.77);(359.60, 262.80, 0.00)
22.73893;Left Hand Presence Physics;(-4.23, 0.65, 6.58);(5.80, 262.00, 0.00)
22.73893;Right Controller;(-4.34, 0.66, 6.75);(359.60, 262.80, 0.00)
22.73893;Left Controller;(-4.27, 0.66, 6.56);(5.80, 262.00, 0.00)
22.73893;Sponge Cube;(2.60, 0.05, 9.88);(359.71, 158.05, 0.33);False;
23.24902;Right Hand Presence Physics;(-5.49, 0.65, 6.31);(359.60, 262.80, 0.00)
23.24902;Left Hand Presence Physics;(-5.42, 0.65, 6.13);(5.80, 262.00, 0.00)
23.24902;Right Controller;(-5.53, 0.66, 6.30);(359.60, 262.80, 0.00)
23.24902;Left Controller;(-5.46, 0.66, 6.11);(5.80, 262.00, 0.00)
23.24902;Sponge Cube;(2.60, 0.05, 9.88);(359.71, 158.05, 0.33);False;
