Timestamp;Name;Position;Rotation;Grabbed;Hand
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
6.510152;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
6.510152;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
6.510152;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
6.510152;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
7.011306;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
7.011306;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
7.011306;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
7.011306;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
7.011306;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
7.513128;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
7.513128;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
7.513128;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
7.513128;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
7.513128;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
8.013327;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
8.013327;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
8.013327;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
8.013327;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
8.013327;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
8.514745;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
8.514745;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
8.514745;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
8.514745;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
8.514745;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
9.015431;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
9.015431;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
9.015431;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
9.015431;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
9.015431;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
9.51605;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
9.51605;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
9.51605;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
9.51605;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
9.51605;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
10.01697;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
10.01697;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
10.01697;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
10.01697;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
10.01697;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
10.51744;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
10.51744;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
10.51744;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
10.51744;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
10.51744;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
11.01834;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
11.01834;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
11.01834;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
11.01834;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
11.01834;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
11.51927;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
11.51927;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
11.51927;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
11.51927;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
11.51927;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
12.02007;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
12.02007;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
12.02007;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
12.02007;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
12.02007;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
12.5213;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
12.5213;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
12.5213;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
12.5213;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
12.5213;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
13.02273;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
13.02273;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
13.02273;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
13.02273;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
13.02273;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
13.52342;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
13.52342;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
13.52342;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
13.52342;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
13.52342;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
14.02386;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
14.02386;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
14.02386;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
14.02386;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
14.02386;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
14.52507;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
14.52507;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
14.52507;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
14.52507;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
14.52507;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
15.02552;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
15.02552;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
15.02552;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
15.02552;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
15.02552;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
15.52598;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
15.52598;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
15.52598;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
15.52598;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
15.52598;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
16.02743;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
16.02743;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
16.02743;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
16.02743;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
16.02743;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
16.52744;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
16.52744;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
16.52744;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
16.52744;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
16.52744;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
17.02872;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
17.02872;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
17.02872;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
17.02872;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
17.02872;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
17.53005;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
17.53005;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
17.53005;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
17.53005;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
17.53005;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
18.03166;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
18.03166;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
18.03166;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
18.03166;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
18.03166;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
18.53221;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
18.53221;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
18.53221;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
18.53221;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
18.53221;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
19.03272;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
19.03272;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
19.03272;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
19.03272;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
19.03272;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
19.55298;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
19.55298;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
19.55298;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
19.55298;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
19.55298;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
20.05305;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
20.05305;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
20.05305;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
20.05305;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
20.05305;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
20.55411;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
20.55411;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
20.55411;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
20.55411;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
20.55411;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
21.05497;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
21.05497;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
21.05497;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
21.05497;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
21.05497;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
21.55607;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
21.55607;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
21.55607;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
21.55607;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
21.55607;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
22.05648;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
22.05648;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
22.05648;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
22.05648;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
22.05648;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
22.55733;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
22.55733;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
22.55733;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
22.55733;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
22.55733;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
23.05824;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
23.05824;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
23.05824;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
23.05824;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
23.05824;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
23.55886;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
23.55886;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
23.55886;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
23.55886;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
23.55886;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
24.05922;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
24.05922;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
24.05922;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
24.05922;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
24.05922;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
24.56029;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
24.56029;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
24.56029;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
24.56029;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
24.56029;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
25.06063;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
25.06063;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
25.06063;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
25.06063;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
25.06063;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
25.56105;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
25.56105;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
25.56105;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
25.56105;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
25.56105;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
26.06225;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
26.06225;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
26.06225;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
26.06225;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
26.06225;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
26.56304;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
26.56304;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
26.56304;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
26.56304;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
26.56304;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
27.06384;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
27.06384;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
27.06384;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
27.06384;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
27.06384;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
27.56385;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
27.56385;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
27.56385;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
27.56385;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
27.56385;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
28.06469;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
28.06469;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
28.06469;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
28.06469;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
28.06469;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
28.56523;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
28.56523;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
28.56523;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
28.56523;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
28.56523;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
29.06673;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
29.06673;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
29.06673;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
29.06673;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
29.06673;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
29.5674;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
29.5674;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
29.5674;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
29.5674;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
29.5674;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
30.06842;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
30.06842;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
30.06842;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
