Timestamp;Name;Position;Rotation;Grabbed;Hand
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Left Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
12,70387;Left Controller;(0.49, 0.78, 2.45);(324.74, 316.17, 357.23)
12,70387;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
13,20472;Right Hand Presence Physics;(0.71, 0.78, 3.96);(326.36, 322.58, 334.85)
13,20472;Left Hand Presence Physics;(0.44, 0.76, 3.66);(327.08, 314.18, 357.93)
13,20472;Right Controller;(0.70, 0.78, 4.00);(326.44, 322.70, 335.00)
13,20472;Left Controller;(0.43, 0.76, 3.70);(327.10, 314.17, 357.95)
13,20472;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
13,70559;Right Hand Presence Physics;(0.37, 0.78, 5.17);(327.62, 321.95, 338.01)
13,70559;Left Hand Presence Physics;(0.10, 0.76, 4.88);(327.99, 314.17, 356.87)
13,70559;Right Controller;(0.36, 0.78, 5.20);(327.64, 321.93, 338.04)
13,70559;Left Controller;(0.09, 0.76, 4.91);(328.01, 314.17, 356.85)
13,70559;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
14,20761;Right Hand Presence Physics;(0.06, 0.73, 5.54);(346.49, 313.71, 12.00)
14,20761;Left Hand Presence Physics;(-0.06, 0.77, 5.23);(328.03, 311.74, 359.45)
14,20761;Right Controller;(0.06, 0.73, 5.54);(346.59, 314.76, 13.01)
14,20761;Left Controller;(-0.06, 0.77, 5.23);(328.02, 311.76, 359.45)
14,20761;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
14,7081;Right Hand Presence Physics;(-0.02, 0.69, 5.56);(1.19, 313.43, 24.91)
14,7081;Left Hand Presence Physics;(-0.06, 0.77, 5.23);(327.26, 311.83, 0.62)
14,7081;Right Controller;(-0.02, 0.69, 5.56);(1.43, 313.33, 24.99)
14,7081;Left Controller;(-0.06, 0.77, 5.23);(327.26, 311.83, 0.63)
14,7081;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
15,07017;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);True;Right Hand
15,20934;Right Hand Presence Physics;(-0.04, 0.68, 5.56);(3.46, 312.33, 24.78)
15,20934;Left Hand Presence Physics;(-0.05, 0.77, 5.23);(326.40, 312.40, 1.06)
15,20934;Right Controller;(-0.04, 0.68, 5.56);(3.49, 312.32, 24.77)
15,20934;Left Controller;(-0.05, 0.77, 5.23);(326.39, 312.42, 1.06)
15,20934;Sponge Cube;(-0.09, 0.63, 5.61);(271.09, 12.59, 347.44);True;Right Hand
15,71046;Right Hand Presence Physics;(0.11, 0.76, 5.50);(346.67, 286.17, 333.50)
15,71046;Left Hand Presence Physics;(-0.04, 0.76, 5.24);(332.92, 319.41, 4.88)
15,71046;Right Controller;(0.12, 0.76, 5.50);(345.65, 285.52, 332.25)
15,71046;Left Controller;(-0.04, 0.76, 5.25);(333.45, 320.04, 5.35)
15,71046;Sponge Cube;(0.02, 0.74, 5.49);(324.31, 29.74, 298.93);True;Right Hand
16,21154;Right Hand Presence Physics;(0.17, 0.76, 5.45);(338.37, 277.86, 345.46)
16,21154;Left Hand Presence Physics;(0.03, 0.76, 5.35);(339.81, 338.01, 344.34)
16,21154;Right Controller;(0.17, 0.76, 5.45);(338.34, 277.84, 345.37)
16,21154;Left Controller;(0.04, 0.77, 5.35);(340.15, 338.37, 344.05)
16,21154;Sponge Cube;(0.08, 0.75, 5.44);(316.41, 34.81, 283.72);True;Right Hand
16,28122;Sponge Cube;(0.08, 0.75, 5.43);(315.91, 34.58, 283.28);True;Left Hand
16,71296;Right Hand Presence Physics;(0.18, 0.76, 5.47);(336.87, 280.31, 344.56)
16,71296;Left Hand Presence Physics;(0.02, 0.78, 5.33);(336.31, 335.15, 350.12)
16,71296;Right Controller;(0.18, 0.76, 5.47);(336.80, 280.34, 344.51)
16,71296;Left Controller;(0.02, 0.78, 5.33);(336.21, 334.89, 350.32)
16,71296;Sponge Cube;(0.10, 0.76, 5.45);(322.05, 30.31, 279.03);True;Left Hand
17,21421;Right Hand Presence Physics;(0.19, 0.77, 5.48);(335.64, 280.18, 344.18)
17,21421;Left Hand Presence Physics;(0.01, 0.80, 5.32);(333.67, 334.01, 351.53)
17,21421;Right Controller;(0.19, 0.77, 5.48);(335.59, 280.19, 344.17)
17,21421;Left Controller;(0.01, 0.80, 5.32);(333.51, 333.63, 351.80)
17,21421;Sponge Cube;(0.11, 0.77, 5.45);(323.35, 31.26, 277.48);True;Left Hand
17,71516;Right Hand Presence Physics;(0.20, 0.77, 5.48);(334.62, 279.96, 344.47)
17,71516;Left Hand Presence Physics;(-0.07, 0.83, 5.22);(327.55, 315.97, 359.87)
17,71516;Right Controller;(0.20, 0.77, 5.48);(334.61, 279.95, 344.48)
17,71516;Left Controller;(-0.07, 0.83, 5.22);(327.45, 315.45, 0.10)
17,71516;Sponge Cube;(0.12, 0.78, 5.45);(324.91, 30.59, 274.89);True;Left Hand
18,14709;Sponge Cube;(0.11, 0.78, 5.45);(325.86, 35.15, 274.99);False;
18,21652;Right Hand Presence Physics;(0.20, 0.77, 5.47);(334.28, 277.96, 345.14)
18,21652;Left Hand Presence Physics;(-0.01, 0.82, 5.31);(331.54, 330.59, 350.63)
18,21652;Right Controller;(0.20, 0.77, 5.47);(334.27, 277.95, 345.14)
18,21652;Left Controller;(-0.01, 0.82, 5.32);(331.63, 331.11, 350.47)
18,21652;Sponge Cube;(0.12, 0.78, 5.45);(325.99, 35.14, 274.93);False;
18,71767;Right Hand Presence Physics;(0.20, 0.77, 5.47);(333.94, 276.58, 346.01)
18,71767;Left Hand Presence Physics;(0.03, 0.82, 5.39);(335.78, 341.64, 346.02)
18,71767;Right Controller;(0.20, 0.77, 5.47);(333.92, 276.61, 346.02)
18,71767;Left Controller;(0.03, 0.82, 5.39);(335.78, 341.64, 346.01)
18,71767;Sponge Cube;(0.11, 0.78, 5.44);(325.47, 34.58, 274.10);False;
19,21893;Right Hand Presence Physics;(0.20, 0.77, 5.47);(333.50, 276.91, 346.01)
19,21893;Left Hand Presence Physics;(-0.03, 0.83, 5.32);(331.57, 331.44, 352.85)
19,21893;Right Controller;(0.20, 0.77, 5.47);(333.51, 276.89, 345.99)
19,21893;Left Controller;(-0.03, 0.83, 5.32);(331.54, 331.22, 353.07)
19,21893;Sponge Cube;(0.12, 0.78, 5.44);(325.68, 35.17, 273.64);False;
19,72007;Right Hand Presence Physics;(0.20, 0.77, 5.47);(333.50, 275.87, 346.63)
19,72007;Left Hand Presence Physics;(0.03, 0.81, 5.39);(336.63, 342.41, 345.84)
19,72007;Right Controller;(0.20, 0.77, 5.47);(333.52, 275.87, 346.64)
19,72007;Left Controller;(0.03, 0.81, 5.39);(336.67, 342.64, 345.78)
19,72007;Sponge Cube;(0.12, 0.78, 5.44);(325.19, 34.59, 273.31);False;
20,22118;Right Hand Presence Physics;(0.20, 0.77, 5.47);(333.47, 275.76, 346.76)
20,22118;Left Hand Presence Physics;(0.03, 0.80, 5.38);(331.30, 332.28, 18.63)
20,22118;Right Controller;(0.20, 0.77, 5.47);(333.47, 275.76, 346.76)
20,22118;Left Controller;(0.04, 0.80, 5.39);(337.60, 345.68, 343.06)
20,22118;Sponge Cube;(0.12, 0.78, 5.44);(325.78, 35.65, 273.08);False;
20,72269;Right Hand Presence Physics;(0.20, 0.77, 5.47);(333.06, 276.01, 346.78)
20,72269;Left Hand Presence Physics;(-0.03, 0.84, 5.32);(330.09, 334.04, 350.51)
20,72269;Right Controller;(0.20, 0.77, 5.47);(333.06, 276.01, 346.77)
20,72269;Left Controller;(-0.03, 0.84, 5.32);(330.11, 334.10, 350.47)
20,72269;Sponge Cube;(0.12, 0.78, 5.44);(325.29, 35.11, 272.77);False;
21,22374;Right Hand Presence Physics;(0.20, 0.77, 5.46);(333.10, 274.50, 347.59)
21,22374;Left Hand Presence Physics;(0.07, 0.75, 5.36);(27.01, 263.94, 41.92)
21,22374;Right Controller;(0.20, 0.77, 5.46);(333.10, 274.50, 347.59)
21,22374;Left Controller;(0.09, 0.79, 5.41);(338.78, 352.99, 338.55)
21,22374;Sponge Cube;(0.12, 0.79, 5.44);(324.18, 27.97, 274.90);False;
21,72509;Right Hand Presence Physics;(0.20, 0.77, 5.46);(332.75, 275.06, 347.60)
21,72509;Left Hand Presence Physics;(0.11, 0.82, 5.36);(15.53, 224.88, 46.35)
21,72509;Right Controller;(0.20, 0.77, 5.46);(332.75, 275.06, 347.60)
21,72509;Left Controller;(0.05, 0.80, 5.38);(335.77, 347.73, 341.55)
21,72509;Sponge Cube;(0.11, 0.78, 5.45);(328.94, 63.21, 263.20);False;
22,22597;Right Hand Presence Physics;(0.20, 0.77, 5.47);(332.55, 275.55, 347.76)
22,22597;Left Hand Presence Physics;(-0.07, 0.85, 5.25);(325.96, 323.02, 0.79)
22,22597;Right Controller;(0.20, 0.77, 5.47);(332.53, 275.54, 347.74)
22,22597;Left Controller;(-0.07, 0.85, 5.25);(325.89, 322.84, 0.82)
22,22597;Sponge Cube;(0.12, 0.78, 5.44);(324.78, 35.71, 271.70);False;
22,72767;Right Hand Presence Physics;(0.20, 0.77, 5.47);(332.15, 275.24, 347.25)
22,72767;Left Hand Presence Physics;(-0.03, 0.82, 5.29);(330.15, 335.21, 349.97)
22,72767;Right Controller;(0.20, 0.77, 5.47);(332.14, 275.21, 347.26)
22,72767;Left Controller;(-0.03, 0.83, 5.30);(330.45, 335.99, 349.30)
22,72767;Sponge Cube;(0.12, 0.79, 5.44);(325.37, 35.28, 271.56);False;
23,22994;Right Hand Presence Physics;(0.21, 0.78, 5.46);(331.79, 273.86, 347.79)
23,22994;Left Hand Presence Physics;(0.06, 0.80, 5.38);(348.07, 343.42, 321.77)
23,22994;Right Controller;(0.21, 0.78, 5.46);(331.74, 273.87, 347.79)
23,22994;Left Controller;(0.06, 0.81, 5.39);(335.46, 355.29, 334.60)
23,22994;Sponge Cube;(0.12, 0.79, 5.43);(326.48, 35.56, 269.74);False;
23,74351;Right Hand Presence Physics;(0.21, 0.78, 5.46);(331.44, 274.28, 347.64)
23,74351;Left Hand Presence Physics;(-0.02, 0.84, 5.31);(327.91, 341.50, 344.25)
23,74351;Right Controller;(0.21, 0.78, 5.46);(331.43, 274.26, 347.61)
23,74351;Left Controller;(-0.02, 0.84, 5.31);(327.70, 341.05, 344.66)
23,74351;Sponge Cube;(0.13, 0.79, 5.43);(325.45, 35.01, 270.59);False;
24,24478;Right Hand Presence Physics;(0.21, 0.78, 5.46);(331.39, 273.87, 347.95)
24,24478;Left Hand Presence Physics;(0.04, 0.80, 5.37);(335.02, 351.58, 336.55)
24,24478;Right Controller;(0.21, 0.78, 5.46);(331.37, 273.84, 347.95)
24,24478;Left Controller;(0.04, 0.81, 5.37);(335.07, 351.63, 336.49)
24,24478;Sponge Cube;(0.13, 0.79, 5.43);(325.23, 34.88, 270.37);False;
24,74599;Right Hand Presence Physics;(0.21, 0.78, 5.46);(331.32, 273.82, 348.14)
24,74599;Left Hand Presence Physics;(0.04, 0.81, 5.37);(334.03, 352.14, 336.88)
24,74599;Right Controller;(0.21, 0.78, 5.46);(331.32, 273.82, 348.15)
24,74599;Left Controller;(0.04, 0.81, 5.37);(333.85, 351.96, 336.93)
24,74599;Sponge Cube;(0.13, 0.79, 5.43);(325.12, 35.01, 270.19);False;
25,24743;Right Hand Presence Physics;(0.21, 0.78, 5.46);(331.29, 273.12, 348.54)
25,24743;Left Hand Presence Physics;(0.05, 0.81, 5.37);(331.87, 349.97, 340.56)
25,24743;Right Controller;(0.21, 0.78, 5.46);(331.29, 273.12, 348.54)
25,24743;Left Controller;(0.05, 0.81, 5.38);(334.15, 353.31, 335.69)
25,24743;Sponge Cube;(0.13, 0.79, 5.43);(324.77, 34.87, 270.05);False;
25,74826;Right Hand Presence Physics;(0.21, 0.78, 5.46);(331.08, 273.33, 348.63)
25,74826;Left Hand Presence Physics;(0.00, 0.83, 5.33);(327.60, 338.33, 355.62)
25,74826;Right Controller;(0.21, 0.78, 5.46);(331.09, 273.30, 348.65)
25,74826;Left Controller;(-0.01, 0.83, 5.33);(327.47, 337.57, 356.84)
25,74826;Sponge Cube;(0.13, 0.79, 5.43);(324.87, 35.05, 269.68);False;
26,24999;Right Hand Presence Physics;(0.21, 0.78, 5.46);(330.95, 273.31, 348.72)
26,24999;Left Hand Presence Physics;(0.02, 0.79, 5.32);(330.77, 342.31, 346.56)
26,24999;Right Controller;(0.21, 0.78, 5.46);(330.94, 273.32, 348.72)
26,24999;Left Controller;(0.02, 0.79, 5.32);(330.62, 342.17, 346.58)
26,24999;Sponge Cube;(0.13, 0.79, 5.43);(324.88, 35.20, 269.49);False;
26,75099;Right Hand Presence Physics;(0.36, 0.86, 5.44);(296.34, 358.36, 312.03)
26,75099;Left Hand Presence Physics;(-0.04, 0.77, 5.25);(328.19, 322.07, 8.52)
26,75099;Right Controller;(0.37, 0.87, 5.43);(294.03, 6.11, 307.62)
26,75099;Left Controller;(-0.04, 0.77, 5.25);(327.89, 322.17, 8.59)
26,75099;Sponge Cube;(0.31, 0.93, 5.47);(1.07, 98.97, 247.24);False;
27,25212;Right Hand Presence Physics;(0.15, 0.67, 5.47);(0.57, 293.72, 37.19)
27,25212;Left Hand Presence Physics;(-0.03, 0.79, 5.23);(325.40, 322.48, 6.64)
27,25212;Right Controller;(0.15, 0.67, 5.47);(1.57, 293.58, 38.57)
27,25212;Left Controller;(-0.03, 0.79, 5.23);(325.39, 322.52, 6.72)
27,25212;Sponge Cube;(0.08, 0.63, 5.50);(276.59, 153.29, 181.45);False;
27,75319;Right Hand Presence Physics;(0.18, 0.61, 5.47);(14.85, 290.15, 63.79)
27,75319;Left Hand Presence Physics;(-0.03, 0.79, 5.23);(324.77, 324.70, 5.43)
27,75319;Right Controller;(0.18, 0.61, 5.46);(15.13, 289.88, 63.88)
27,75319;Left Controller;(-0.03, 0.79, 5.23);(324.73, 324.66, 5.48)
27,75319;Sponge Cube;(0.12, 0.56, 5.51);(284.29, 210.49, 123.93);False;
28,25484;Right Hand Presence Physics;(0.18, 0.61, 5.48);(11.78, 293.09, 67.03)
28,25484;Left Hand Presence Physics;(-0.02, 0.79, 5.23);(325.12, 325.40, 5.07)
28,25484;Right Controller;(0.18, 0.61, 5.48);(12.12, 293.17, 67.39)
28,25484;Left Controller;(-0.02, 0.79, 5.23);(325.12, 325.39, 5.07)
28,25484;Sponge Cube;(0.13, 0.57, 5.52);(296.40, 217.26, 109.51);False;
28,75546;Right Hand Presence Physics;(0.17, 0.63, 5.48);(7.25, 293.93, 64.62)
28,75546;Left Hand Presence Physics;(-0.02, 0.79, 5.23);(324.93, 325.78, 5.00)
28,75546;Right Controller;(0.17, 0.63, 5.48);(7.48, 293.85, 64.78)
28,75546;Left Controller;(-0.02, 0.79, 5.23);(324.93, 325.78, 5.00)
28,75546;Sponge Cube;(0.12, 0.58, 5.52);(301.31, 204.76, 126.88);False;
29,25683;Right Hand Presence Physics;(0.17, 0.62, 5.47);(7.36, 292.94, 67.42)
29,25683;Left Hand Presence Physics;(-0.02, 0.79, 5.24);(324.99, 325.94, 4.84)
29,25683;Right Controller;(0.17, 0.62, 5.47);(7.09, 293.09, 67.47)
29,25683;Left Controller;(-0.02, 0.79, 5.24);(324.99, 325.96, 4.78)
29,25683;Sponge Cube;(0.12, 0.58, 5.52);(302.03, 211.61, 114.75);False;
29,75809;Right Hand Presence Physics;(0.19, 0.70, 5.45);(347.53, 292.01, 57.20)
29,75809;Left Hand Presence Physics;(-0.02, 0.79, 5.22);(325.12, 325.93, 5.71)
29,75809;Right Controller;(0.21, 0.71, 5.43);(346.12, 291.90, 56.66)
29,75809;Left Controller;(-0.01, 0.79, 5.21);(325.10, 325.95, 5.73)
29,75809;Sponge Cube;(0.12, 0.68, 5.49);(299.98, 167.02, 167.70);False;
30,25958;Right Hand Presence Physics;(1.14, 0.90, 4.38);(279.20, 34.65, 306.78)
30,25958;Left Hand Presence Physics;(0.72, 0.80, 4.24);(321.73, 321.43, 8.99)
30,25958;Right Controller;(1.18, 0.90, 4.35);(281.89, 61.66, 280.74)
30,25958;Left Controller;(0.74, 0.80, 4.22);(321.54, 321.14, 9.30)
30,25958;Sponge Cube;(1.10, 0.97, 4.41);(4.77, 129.23, 230.40);False;
30,7047;Sponge Cube;(1.17, 0.99, 4.32);(319.08, 160.65, 216.66);False;
30,76095;Right Hand Presence Physics;(1.11, 0.85, 4.25);(328.30, 311.96, 81.90)
30,76095;Left Hand Presence Physics;(0.97, 0.82, 3.93);(318.30, 316.49, 10.66)
30,76095;Right Controller;(1.10, 0.83, 4.26);(335.01, 312.94, 82.55)
30,76095;Left Controller;(0.97, 0.82, 3.93);(318.29, 316.47, 10.68)
30,76095;Sponge Cube;(1.00, 0.97, 4.44);(301.03, 199.10, 176.68);False;
31,26146;Right Hand Presence Physics;(1.20, 0.70, 4.11);(349.22, 269.90, 64.52)
31,26146;Left Hand Presence Physics;(0.96, 0.81, 3.93);(318.77, 314.94, 11.60)
31,26146;Right Controller;(1.20, 0.70, 4.11);(348.37, 270.08, 64.32)
31,26146;Left Controller;(0.96, 0.81, 3.93);(318.76, 314.98, 11.57)
31,26146;Sponge Cube;(-0.15, 0.06, 5.30);(67.75, 39.87, 272.12);False;
31,76306;Right Hand Presence Physics;(1.33, 0.74, 3.90);(333.40, 286.02, 54.27)
31,76306;Left Hand Presence Physics;(1.11, 0.80, 3.69);(320.44, 316.74, 11.76)
31,76306;Right Controller;(1.35, 0.74, 3.87);(332.63, 287.20, 53.16)
31,76306;Left Controller;(1.12, 0.80, 3.66);(320.43, 316.75, 11.76)
31,76306;Sponge Cube;(-0.18, 0.05, 5.39);(90.00, 63.66, 0.00);False;
32,26474;Right Hand Presence Physics;(0.93, 0.75, 3.10);(327.54, 290.21, 48.30)
32,26474;Left Hand Presence Physics;(0.69, 0.80, 2.88);(319.06, 318.63, 10.77)
32,26474;Right Controller;(0.89, 0.75, 3.10);(327.53, 290.20, 48.29)
32,26474;Left Controller;(0.66, 0.80, 2.88);(319.08, 318.63, 10.78)
32,26474;Sponge Cube;(-0.18, 0.05, 5.39);(90.00, 63.66, 0.00);False;
32,76524;Right Hand Presence Physics;(-0.22, 0.75, 3.59);(326.46, 289.16, 49.71)
32,76524;Left Hand Presence Physics;(-0.46, 0.79, 3.37);(320.91, 316.78, 11.72)
32,76524;Right Controller;(-0.25, 0.75, 3.60);(326.45, 289.16, 49.71)
32,76524;Left Controller;(-0.49, 0.80, 3.39);(320.89, 316.78, 11.73)
32,76524;Sponge Cube;(-0.18, 0.05, 5.39);(90.00, 63.66, 0.00);False;
33,26731;Right Hand Presence Physics;(-1.38, 0.75, 4.04);(326.03, 289.10, 49.68)
33,26731;Left Hand Presence Physics;(-1.67, 0.80, 3.84);(325.84, 308.60, 352.07)
33,26731;Right Controller;(-1.41, 0.76, 4.05);(326.03, 289.11, 49.68)
33,26731;Left Controller;(-1.71, 0.80, 3.86);(326.98, 308.05, 350.18)
33,26731;Sponge Cube;(-0.18, 0.05, 5.39);(90.00, 63.66, 0.00);False;
33,76743;Right Hand Presence Physics;(-1.41, 0.75, 4.04);(326.93, 288.21, 50.45)
33,76743;Left Hand Presence Physics;(-1.74, 0.65, 3.93);(330.37, 321.71, 312.08)
33,76743;Right Controller;(-1.41, 0.75, 4.04);(326.94, 288.18, 50.45)
33,76743;Left Controller;(-1.75, 0.61, 3.93);(11.60, 320.24, 328.70)
33,76743;Sponge Cube;(-0.18, 0.05, 5.39);(90.00, 63.66, 0.00);False;
33,92059;Right Hand Presence Physics;(-1.41, 0.75, 4.04);(327.49, 287.88, 50.59)
33,92059;Left Hand Presence Physics;(-1.78, 0.57, 3.76);(357.26, 230.76, 125.78)
33,92059;Right Controller;(-0.30, 0.80, 0.35);(320.71, 294.41, 321.57)
33,92059;Left Controller;(-0.28, 0.79, -0.09);(318.26, 273.44, 4.74)
34,42171;Right Hand Presence Physics;(0.04, 0.80, 0.86);(323.39, 339.67, 317.05)
34,42171;Left Hand Presence Physics;(-0.27, 0.78, 0.53);(320.24, 318.69, 1.47)
34,42171;Right Controller;(0.06, 0.80, 0.89);(323.11, 339.88, 317.23)
34,42171;Left Controller;(-0.25, 0.78, 0.56);(320.33, 318.51, 1.41)
34,42171;Rubber Cube;(-0.11, 0.83, 5.65);(0.00, 0.00, 0.00);False;
34,92297;Right Hand Presence Physics;(0.47, 0.80, 2.01);(322.74, 339.52, 319.40)
34,92297;Left Hand Presence Physics;(0.17, 0.77, 1.69);(322.24, 320.17, 357.85)
34,92297;Right Controller;(0.48, 0.80, 2.04);(322.74, 339.52, 319.40)
34,92297;Left Controller;(0.17, 0.77, 1.73);(322.31, 320.19, 357.61)
34,92297;Rubber Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False;
35,42426;Right Hand Presence Physics;(0.74, 0.80, 3.22);(322.44, 337.11, 324.66)
35,42426;Left Hand Presence Physics;(0.44, 0.76, 2.91);(325.47, 319.18, 358.56)
35,42426;Right Controller;(0.74, 0.80, 3.26);(322.42, 337.05, 324.87)
35,42426;Left Controller;(0.44, 0.77, 2.95);(325.86, 319.10, 358.82)
35,42426;Rubber Cube;(-0.11, 0.57, 5.65);(0.00, 0.00, 0.00);False;
35,92518;Right Hand Presence Physics;(0.56, 0.80, 4.45);(321.64, 336.38, 326.85)
35,92518;Left Hand Presence Physics;(0.25, 0.76, 4.15);(327.19, 319.81, 354.77)
35,92518;Right Controller;(0.56, 0.81, 4.49);(321.64, 336.37, 326.86)
35,92518;Left Controller;(0.25, 0.76, 4.19);(327.21, 319.79, 354.78)
35,92518;Rubber Cube;(-0.11, 0.66, 5.65);(0.00, 0.00, 0.00);False;
36,42702;Right Hand Presence Physics;(0.36, 0.81, 5.68);(320.92, 335.24, 327.88)
36,42702;Left Hand Presence Physics;(0.01, 0.73, 5.40);(333.75, 314.96, 350.99)
36,42702;Right Controller;(0.35, 0.81, 5.71);(320.92, 335.24, 327.88)
36,42702;Left Controller;(0.00, 0.73, 5.44);(334.46, 314.62, 350.73)
36,42702;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
36,78859;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);True;Left Hand
36,9276;Right Hand Presence Physics;(0.33, 0.80, 5.78);(321.12, 334.52, 328.39)
36,9276;Left Hand Presence Physics;(-0.08, 0.66, 5.55);(348.57, 314.41, 334.19)
36,9276;Right Controller;(0.33, 0.81, 5.78);(321.12, 334.52, 328.40)
36,9276;Left Controller;(-0.08, 0.67, 5.55);(348.38, 314.16, 334.00)
36,9276;Rubber Cube;(-0.12, 0.61, 5.59);(2.75, 359.46, 356.70);True;Left Hand
37,42902;Right Hand Presence Physics;(0.78, 0.80, 5.51);(320.91, 332.85, 329.54)
37,42902;Left Hand Presence Physics;(0.45, 0.76, 5.24);(334.47, 334.25, 12.55)
37,42902;Right Controller;(0.81, 0.81, 5.50);(320.86, 332.84, 329.57)
37,42902;Left Controller;(0.48, 0.76, 5.22);(334.27, 334.59, 11.05)
37,42902;Rubber Cube;(0.46, 0.74, 5.31);(325.88, 27.97, 10.58);True;Left Hand
37,93013;Right Hand Presence Physics;(1.19, 0.81, 5.29);(320.57, 331.43, 330.44)
37,93013;Left Hand Presence Physics;(0.85, 0.91, 5.11);(338.30, 329.52, 337.74)
37,93013;Right Controller;(1.19, 0.81, 5.29);(320.58, 331.44, 330.44)
37,93013;Left Controller;(0.82, 0.94, 5.11);(335.66, 315.72, 348.59)
37,93013;Rubber Cube;(0.83, 0.87, 5.17);(353.05, 15.67, 351.74);True;Left Hand
38,01364;Rubber Cube;(0.65, 1.00, 4.99);(303.81, 296.54, 56.46);False;
38,43167;Right Hand Presence Physics;(1.19, 0.81, 5.29);(320.28, 331.86, 330.01)
38,43167;Left Hand Presence Physics;(0.89, 0.89, 4.95);(319.87, 303.72, 21.84)
38,43167;Right Controller;(1.19, 0.81, 5.29);(320.25, 331.80, 330.06)
38,43167;Left Controller;(0.89, 0.88, 4.95);(319.91, 304.89, 20.19)
38,43167;Rubber Cube;(-0.23, 1.22, 4.97);(353.09, 33.12, 2.99);False;
38,93261;Right Hand Presence Physics;(1.19, 0.81, 5.28);(319.90, 330.26, 331.58)
38,93261;Left Hand Presence Physics;(0.89, 0.81, 4.96);(321.57, 306.29, 8.77)
38,93261;Right Controller;(1.19, 0.81, 5.28);(319.90, 330.25, 331.60)
38,93261;Left Controller;(0.89, 0.81, 4.96);(321.71, 306.34, 8.82)
38,93261;Rubber Cube;(-1.17, 0.41, 5.09);(354.48, 138.12, 96.90);False;
39,43397;Right Hand Presence Physics;(1.19, 0.81, 5.28);(319.48, 329.79, 332.08)
39,43397;Left Hand Presence Physics;(0.95, 0.75, 5.03);(331.99, 334.80, 334.82)
39,43397;Right Controller;(1.19, 0.81, 5.28);(319.48, 329.75, 332.12)
39,43397;Left Controller;(0.95, 0.75, 5.03);(333.34, 336.40, 332.34)
39,43397;Rubber Cube;(-1.86, 0.07, 5.57);(64.15, 126.06, 20.27);False;
39,93507;Right Hand Presence Physics;(1.19, 0.81, 5.28);(319.29, 329.22, 332.76)
