Timestamp;Name;Position;Rotation;Grabbed;Hand
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Left Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False;
6,274578;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 354.75, 77.47)
6,274578;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
6,274578;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
6,274578;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
6,774599;Right Hand Presence Physics;(-0.24, 0.67, 0.58);(346.11, 328.28, 338.53)
6,774599;Left Hand Presence Physics;(-0.46, 0.64, 0.44);(354.15, 327.90, 23.08)
6,774599;Right Controller;(-0.24, 0.68, 0.58);(346.32, 328.50, 337.77)
6,774599;Left Controller;(-0.46, 0.65, 0.44);(354.03, 327.93, 23.07)
6,774599;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
7,276361;Right Hand Presence Physics;(-0.11, 0.67, 1.39);(349.63, 331.66, 329.13)
7,276361;Left Hand Presence Physics;(-0.33, 0.65, 1.23);(351.40, 328.96, 20.79)
7,276361;Right Controller;(-0.10, 0.67, 1.42);(349.59, 331.69, 329.17)
7,276361;Left Controller;(-0.32, 0.65, 1.26);(351.40, 328.96, 20.79)
7,276361;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
7,778516;Right Hand Presence Physics;(1.02, 0.67, 2.15);(348.33, 17.66, 331.02)
7,778516;Left Hand Presence Physics;(0.75, 0.65, 2.19);(351.63, 13.58, 20.79)
7,778516;Right Controller;(1.03, 0.67, 2.18);(348.32, 17.66, 331.07)
7,778516;Left Controller;(0.76, 0.65, 2.23);(351.63, 13.58, 20.79)
7,778516;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
8,280314;Right Hand Presence Physics;(0.36, 0.67, 3.15);(348.51, 17.35, 332.05)
8,280314;Left Hand Presence Physics;(0.09, 0.65, 3.20);(351.34, 13.20, 21.21)
8,280314;Right Controller;(0.34, 0.67, 3.18);(348.51, 17.36, 332.05)
8,280314;Left Controller;(0.07, 0.65, 3.23);(351.34, 13.20, 21.21)
8,280314;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
8,78198;Right Hand Presence Physics;(0.20, 0.67, 4.37);(348.32, 17.34, 331.95)
8,78198;Left Hand Presence Physics;(-0.07, 0.65, 4.42);(351.32, 13.10, 19.78)
8,78198;Right Controller;(0.20, 0.67, 4.41);(348.34, 17.31, 331.96)
8,78198;Left Controller;(-0.07, 0.65, 4.46);(351.32, 13.10, 19.80)
8,78198;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
9,283657;Right Hand Presence Physics;(0.12, 0.67, 5.29);(348.26, 17.34, 332.08)
9,283657;Left Hand Presence Physics;(-0.16, 0.65, 5.35);(350.44, 9.86, 20.05)
9,283657;Right Controller;(0.12, 0.67, 5.29);(348.28, 17.37, 332.08)
9,283657;Left Controller;(-0.16, 0.66, 5.35);(350.22, 9.61, 19.87)
9,283657;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
9,785263;Right Hand Presence Physics;(0.12, 0.67, 5.34);(348.17, 17.80, 333.12)
9,785263;Left Hand Presence Physics;(-0.15, 0.67, 5.56);(354.91, 6.93, 356.10)
9,785263;Right Controller;(0.12, 0.67, 5.34);(348.17, 17.80, 333.12)
9,785263;Left Controller;(-0.15, 0.66, 5.56);(356.18, 7.84, 355.75)
9,785263;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
9,924305;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);True;Left Hand
10,28602;Right Hand Presence Physics;(0.11, 0.67, 5.34);(347.89, 16.46, 332.98)
10,28602;Left Hand Presence Physics;(-0.15, 0.71, 5.45);(356.05, 25.68, 43.93)
10,28602;Right Controller;(0.11, 0.67, 5.34);(347.77, 16.34, 333.05)
10,28602;Left Controller;(-0.15, 0.71, 5.45);(354.91, 26.81, 46.06)
10,28602;Metal Cube;(-0.08, 0.70, 5.48);(1.16, 20.28, 56.38);True;Left Hand
10,78781;Right Hand Presence Physics;(0.10, 0.68, 5.34);(345.62, 13.87, 338.09)
10,78781;Left Hand Presence Physics;(-0.10, 0.67, 5.39);(3.83, 45.00, 356.11)
10,78781;Right Controller;(0.10, 0.68, 5.34);(345.63, 13.85, 338.14)
10,78781;Left Controller;(-0.09, 0.66, 5.39);(8.08, 50.10, 355.75)
10,78781;Metal Cube;(-0.05, 0.63, 5.42);(1.91, 36.96, 8.39);True;Left Hand
10,94059;Metal Cube;(-0.27, 0.74, 5.53);(359.44, 326.32, 57.50);False;
11,28912;Right Hand Presence Physics;(0.09, 0.68, 5.16);(345.37, 13.47, 337.05)
11,28912;Left Hand Presence Physics;(-0.21, 0.73, 5.25);(340.30, 358.16, 29.23)
11,28912;Right Controller;(0.08, 0.68, 5.13);(345.39, 13.50, 337.01)
11,28912;Left Controller;(-0.22, 0.73, 5.21);(340.49, 358.76, 28.58)
11,28912;Metal Cube;(-0.61, 0.35, 5.69);(82.28, 68.78, 211.30);False;
11,79038;Right Hand Presence Physics;(-0.26, 0.68, 3.96);(345.79, 12.13, 335.12)
11,79038;Left Hand Presence Physics;(-0.61, 0.77, 3.98);(329.58, 356.73, 20.77)
11,79038;Right Controller;(-0.28, 0.68, 3.93);(345.79, 12.13, 335.11)
11,79038;Left Controller;(-0.63, 0.77, 3.95);(329.29, 356.76, 20.58)
11,79038;Metal Cube;(-0.73, 0.05, 5.75);(90.00, 271.13, 0.00);False;
12,29153;Right Hand Presence Physics;(-1.22, 0.68, 3.58);(344.79, 11.69, 335.94)
12,29153;Left Hand Presence Physics;(-1.60, 0.78, 3.61);(329.67, 351.92, 352.23)
12,29153;Right Controller;(-1.25, 0.69, 3.60);(344.79, 11.71, 335.94)
12,29153;Left Controller;(-1.63, 0.78, 3.63);(329.73, 351.71, 350.00)
12,29153;Metal Cube;(-0.73, 0.05, 5.75);(90.00, 271.13, 0.00);False;
12,79303;Right Hand Presence Physics;(-1.31, 0.68, 3.68);(345.35, 11.40, 336.74)
12,79303;Left Hand Presence Physics;(-1.73, 0.63, 3.93);(345.17, 352.16, 296.25)
12,79303;Right Controller;(-1.31, 0.68, 3.68);(345.36, 11.40, 336.75)
12,79303;Left Controller;(-1.73, 0.59, 3.94);(25.90, 350.69, 322.34)
12,79303;Metal Cube;(-0.73, 0.05, 5.75);(90.00, 271.13, 0.00);False;
12,83457;Right Hand Presence Physics;(-1.31, 0.68, 3.68);(345.44, 11.45, 336.77)
12,83457;Left Hand Presence Physics;(-1.73, 0.62, 3.93);(342.08, 349.79, 292.65)
12,83457;Right Controller;(-0.23, 0.69, 0.58);(339.70, 331.60, 337.90)
12,83457;Left Controller;(-0.44, 0.69, 0.43);(338.77, 328.30, 5.13)
13,33572;Right Hand Presence Physics;(0.15, 0.68, 1.68);(343.66, 337.23, 334.17)
13,33572;Left Hand Presence Physics;(-0.07, 0.68, 1.53);(341.86, 329.79, 4.28)
13,33572;Right Controller;(0.15, 0.68, 1.71);(343.82, 337.70, 333.93)
13,33572;Left Controller;(-0.07, 0.68, 1.56);(341.88, 329.79, 4.31)
13,33572;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
13,83702;Right Hand Presence Physics;(0.13, 0.68, 2.88);(345.43, 339.59, 331.18)
13,83702;Left Hand Presence Physics;(-0.09, 0.68, 2.72);(341.41, 331.38, 2.25)
13,83702;Right Controller;(0.14, 0.68, 2.91);(345.43, 339.59, 331.18)
13,83702;Left Controller;(-0.08, 0.68, 2.75);(341.41, 331.38, 2.25)
13,83702;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
14,33759;Right Hand Presence Physics;(0.29, 0.68, 4.06);(345.16, 338.59, 331.69)
14,33759;Left Hand Presence Physics;(0.06, 0.68, 3.91);(342.25, 329.88, 2.65)
14,33759;Right Controller;(0.28, 0.68, 4.09);(345.16, 338.57, 331.70)
14,33759;Left Controller;(0.06, 0.68, 3.94);(342.24, 329.89, 2.64)
14,33759;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
14,83909;Right Hand Presence Physics;(0.36, 0.68, 5.29);(344.85, 338.21, 331.85)
14,83909;Left Hand Presence Physics;(0.13, 0.68, 5.14);(343.31, 327.62, 2.40)
14,83909;Right Controller;(0.36, 0.68, 5.33);(344.84, 338.20, 331.84)
14,83909;Left Controller;(0.13, 0.68, 5.17);(343.55, 327.21, 2.61)
14,83909;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
15,34012;Right Hand Presence Physics;(0.33, 0.68, 5.56);(344.24, 336.79, 333.46)
15,34012;Left Hand Presence Physics;(-0.07, 0.67, 5.52);(352.54, 316.05, 342.54)
15,34012;Right Controller;(0.33, 0.68, 5.56);(344.23, 336.79, 333.51)
15,34012;Left Controller;(-0.08, 0.67, 5.53);(353.75, 316.05, 341.79)
15,34012;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
15,46575;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);True;Left Hand
15,84181;Right Hand Presence Physics;(0.32, 0.69, 5.55);(341.32, 329.67, 337.12)
15,84181;Left Hand Presence Physics;(0.06, 0.70, 5.46);(354.06, 330.24, 5.04)
15,84181;Right Controller;(0.32, 0.69, 5.55);(340.98, 328.83, 337.68)
15,84181;Left Controller;(0.07, 0.70, 5.45);(352.99, 331.19, 4.53)
15,84181;Sponge Cube;(0.07, 0.67, 5.53);(294.43, 225.09, 151.69);True;Left Hand
16,34273;Right Hand Presence Physics;(0.25, 0.74, 5.49);(335.45, 313.36, 5.52)
16,34273;Left Hand Presence Physics;(0.15, 0.70, 5.42);(338.47, 336.44, 347.68)
16,34273;Right Controller;(0.25, 0.74, 5.49);(335.67, 313.11, 5.83)
16,34273;Left Controller;(0.15, 0.71, 5.42);(338.46, 336.55, 347.35)
16,34273;Sponge Cube;(0.15, 0.68, 5.49);(293.08, 172.33, 210.71);True;Left Hand
16,84392;Right Hand Presence Physics;(0.26, 0.73, 5.49);(333.43, 315.15, 5.98)
16,84392;Left Hand Presence Physics;(0.15, 0.70, 5.42);(336.46, 336.66, 343.19)
16,84392;Right Controller;(0.26, 0.74, 5.49);(333.05, 315.75, 6.04)
16,84392;Left Controller;(0.15, 0.70, 5.42);(336.42, 336.61, 343.19)
16,84392;Sponge Cube;(0.15, 0.68, 5.49);(294.38, 160.64, 221.81);True;Left Hand
17,34527;Right Hand Presence Physics;(0.25, 0.73, 5.47);(332.40, 316.21, 12.72)
17,34527;Left Hand Presence Physics;(0.15, 0.70, 5.42);(336.28, 335.85, 342.72)
17,34527;Right Controller;(0.25, 0.73, 5.47);(332.24, 316.48, 12.87)
17,34527;Left Controller;(0.15, 0.70, 5.42);(336.26, 335.87, 342.66)
17,34527;Sponge Cube;(0.14, 0.68, 5.49);(294.51, 158.71, 222.85);True;Left Hand
17,84656;Right Hand Presence Physics;(0.25, 0.73, 5.47);(333.98, 312.81, 17.54)
17,84656;Left Hand Presence Physics;(0.15, 0.70, 5.42);(335.76, 335.91, 342.42)
17,84656;Right Controller;(0.24, 0.73, 5.47);(332.43, 317.45, 15.55)
17,84656;Left Controller;(0.15, 0.70, 5.42);(335.78, 335.92, 342.42)
17,84656;Sponge Cube;(0.14, 0.68, 5.49);(294.61, 158.44, 222.29);True;Left Hand
18,34755;Right Hand Presence Physics;(0.28, 0.75, 5.49);(327.31, 326.05, 10.68)
18,34755;Left Hand Presence Physics;(0.15, 0.70, 5.42);(335.37, 335.78, 342.83)
18,34755;Right Controller;(0.28, 0.75, 5.49);(327.30, 326.06, 10.71)
18,34755;Left Controller;(0.15, 0.70, 5.42);(335.39, 335.78, 342.84)
18,34755;Sponge Cube;(0.14, 0.68, 5.49);(295.42, 158.84, 222.68);True;Left Hand
18,84858;Right Hand Presence Physics;(0.26, 0.74, 5.48);(327.44, 317.57, 29.03)
18,84858;Left Hand Presence Physics;(0.15, 0.70, 5.42);(334.49, 336.17, 341.78)
18,84858;Right Controller;(0.26, 0.74, 5.48);(327.48, 317.11, 30.25)
18,84858;Left Controller;(0.15, 0.71, 5.42);(334.48, 336.18, 341.76)
18,84858;Sponge Cube;(0.15, 0.68, 5.49);(296.27, 156.81, 224.88);True;Left Hand
19,34948;Right Hand Presence Physics;(0.27, 0.74, 5.49);(328.83, 318.21, 30.91)
19,34948;Left Hand Presence Physics;(0.15, 0.70, 5.42);(334.28, 336.39, 341.57)
19,34948;Right Controller;(0.27, 0.74, 5.49);(328.68, 318.48, 30.95)
19,34948;Left Controller;(0.15, 0.71, 5.42);(334.27, 336.39, 341.56)
19,34948;Sponge Cube;(0.15, 0.68, 5.49);(296.49, 156.47, 225.37);True;Left Hand
19,85089;Right Hand Presence Physics;(0.26, 0.74, 5.47);(328.45, 314.50, 33.58)
19,85089;Left Hand Presence Physics;(0.15, 0.70, 5.42);(334.16, 336.36, 341.37)
19,85089;Right Controller;(0.26, 0.74, 5.47);(328.49, 314.13, 33.98)
19,85089;Left Controller;(0.15, 0.70, 5.42);(334.16, 336.36, 341.37)
19,85089;Sponge Cube;(0.15, 0.68, 5.49);(296.60, 156.05, 225.74);True;Left Hand
20,35221;Right Hand Presence Physics;(0.28, 0.76, 5.48);(325.93, 318.67, 30.37)
20,35221;Left Hand Presence Physics;(0.15, 0.70, 5.41);(333.94, 336.30, 341.40)
20,35221;Right Controller;(0.29, 0.77, 5.48);(325.69, 319.02, 30.17)
20,35221;Left Controller;(0.15, 0.71, 5.41);(333.93, 336.29, 341.42)
20,35221;Sponge Cube;(0.15, 0.68, 5.48);(296.81, 156.06, 225.68);True;Left Hand
20,85321;Right Hand Presence Physics;(0.26, 0.74, 5.49);(328.98, 317.73, 32.83)
20,85321;Left Hand Presence Physics;(0.15, 0.71, 5.41);(333.65, 336.24, 341.53)
20,85321;Right Controller;(0.27, 0.74, 5.49);(328.98, 318.04, 32.85)
20,85321;Left Controller;(0.15, 0.71, 5.41);(333.65, 336.24, 341.54)
20,85321;Sponge Cube;(0.15, 0.68, 5.48);(297.10, 156.28, 225.43);True;Left Hand
21,3547;Right Hand Presence Physics;(0.26, 0.74, 5.49);(329.79, 317.62, 31.72)
21,3547;Left Hand Presence Physics;(0.15, 0.71, 5.41);(333.42, 336.42, 341.60)
21,3547;Right Controller;(0.26, 0.74, 5.49);(329.72, 317.94, 31.71)
21,3547;Left Controller;(0.15, 0.71, 5.41);(333.40, 336.40, 341.64)
21,3547;Sponge Cube;(0.15, 0.69, 5.48);(297.33, 156.61, 225.29);True;Left Hand
21,85578;Right Hand Presence Physics;(0.25, 0.74, 5.48);(330.81, 314.15, 32.24)
21,85578;Left Hand Presence Physics;(0.16, 0.71, 5.41);(333.49, 336.73, 341.56)
21,85578;Right Controller;(0.25, 0.74, 5.48);(330.80, 314.31, 32.14)
21,85578;Left Controller;(0.16, 0.71, 5.41);(333.50, 336.74, 341.55)
21,85578;Sponge Cube;(0.15, 0.68, 5.48);(297.26, 156.82, 225.38);True;Left Hand
22,35724;Right Hand Presence Physics;(0.24, 0.74, 5.48);(330.77, 313.48, 32.29)
22,35724;Left Hand Presence Physics;(0.16, 0.71, 5.41);(333.31, 336.85, 341.62)
22,35724;Right Controller;(0.24, 0.74, 5.48);(331.09, 313.06, 32.11)
22,35724;Left Controller;(0.16, 0.71, 5.41);(333.30, 336.87, 341.61)
22,35724;Sponge Cube;(0.15, 0.69, 5.48);(297.44, 157.08, 225.26);True;Left Hand
22,85825;Right Hand Presence Physics;(0.29, 0.76, 5.50);(327.85, 322.26, 15.57)
22,85825;Left Hand Presence Physics;(0.15, 0.71, 5.41);(333.83, 336.23, 343.20)
22,85825;Right Controller;(0.29, 0.76, 5.50);(328.12, 321.97, 16.07)
22,85825;Left Controller;(0.15, 0.71, 5.41);(333.83, 336.24, 343.20)
22,85825;Sponge Cube;(0.15, 0.68, 5.48);(296.98, 159.93, 222.15);True;Left Hand
23,19218;Sponge Cube;(0.15, 0.68, 5.48);(297.00, 158.88, 223.41);True;Right Hand
23,35957;Right Hand Presence Physics;(0.26, 0.74, 5.49);(329.53, 317.36, 18.93)
23,35957;Left Hand Presence Physics;(0.15, 0.71, 5.41);(333.65, 336.60, 342.50)
23,35957;Right Controller;(0.26, 0.75, 5.49);(329.31, 317.73, 18.85)
23,35957;Left Controller;(0.15, 0.71, 5.41);(333.64, 336.59, 342.50)
23,35957;Sponge Cube;(0.16, 0.69, 5.49);(302.62, 174.11, 218.98);True;Right Hand
23,86032;Right Hand Presence Physics;(0.31, 0.79, 5.49);(322.69, 324.44, 10.89)
23,86032;Left Hand Presence Physics;(0.15, 0.71, 5.41);(333.62, 336.12, 342.67)
23,86032;Right Controller;(0.31, 0.79, 5.48);(322.66, 323.96, 11.31)
23,86032;Left Controller;(0.15, 0.71, 5.41);(333.61, 336.08, 342.69)
23,86032;Sponge Cube;(0.17, 0.70, 5.48);(312.13, 188.40, 212.80);True;Right Hand
23,93062;Sponge Cube;(0.17, 0.71, 5.48);(312.20, 188.20, 213.31);False;
24,3619;Right Hand Presence Physics;(0.28, 0.73, 5.49);(331.18, 316.83, 1.24)
24,3619;Left Hand Presence Physics;(0.13, 0.72, 5.41);(337.76, 336.37, 8.35)
24,3619;Right Controller;(0.28, 0.73, 5.49);(331.71, 316.84, 359.66)
24,3619;Left Controller;(0.13, 0.72, 5.40);(337.95, 336.16, 9.76)
24,3619;Sponge Cube;(0.16, 0.73, 5.47);(326.36, 216.07, 188.02);False;
24,69588;Sponge Cube;(0.16, 0.73, 5.47);(323.23, 213.46, 190.07);True;Right Hand
24,86298;Right Hand Presence Physics;(0.27, 0.75, 5.47);(327.75, 315.16, 4.57)
24,86298;Left Hand Presence Physics;(0.13, 0.71, 5.41);(337.67, 336.21, 3.96)
24,86298;Right Controller;(0.27, 0.75, 5.47);(327.68, 315.48, 4.50)
24,86298;Left Controller;(0.13, 0.71, 5.41);(337.67, 336.21, 3.97)
24,86298;Sponge Cube;(0.17, 0.73, 5.47);(323.04, 218.08, 193.51);True;Right Hand
25,25262;Sponge Cube;(0.17, 0.73, 5.47);(325.65, 218.23, 191.97);False;
25,36413;Right Hand Presence Physics;(0.28, 0.76, 5.48);(327.08, 321.90, 358.25)
25,36413;Left Hand Presence Physics;(0.13, 0.71, 5.41);(337.77, 335.97, 4.36)
25,36413;Right Controller;(0.28, 0.76, 5.48);(327.47, 321.20, 358.48)
25,36413;Left Controller;(0.13, 0.71, 5.41);(337.76, 335.96, 4.38)
25,36413;Sponge Cube;(0.17, 0.73, 5.47);(325.61, 218.24, 191.90);False;
25,54556;Sponge Cube;(0.17, 0.73, 5.47);(325.50, 218.36, 192.00);True;Right Hand
25,82368;Sponge Cube;(0.17, 0.73, 5.47);(327.63, 220.18, 191.26);False;
25,86552;Right Hand Presence Physics;(0.27, 0.75, 5.48);(327.84, 321.67, 359.38)
25,86552;Left Hand Presence Physics;(0.13, 0.71, 5.41);(337.81, 336.26, 4.31)
25,86552;Right Controller;(0.27, 0.75, 5.48);(327.83, 321.65, 359.38)
25,86552;Left Controller;(0.13, 0.71, 5.41);(337.80, 336.25, 4.32)
25,86552;Sponge Cube;(0.17, 0.73, 5.47);(327.62, 220.19, 191.28);False;
26,03275;Sponge Cube;(0.17, 0.73, 5.47);(328.22, 220.68, 190.54);True;Right Hand
26,3668;Right Hand Presence Physics;(0.27, 0.75, 5.48);(327.05, 321.31, 359.80)
26,3668;Left Hand Presence Physics;(0.13, 0.71, 5.41);(337.82, 336.20, 4.27)
26,3668;Right Controller;(0.27, 0.75, 5.48);(327.04, 321.34, 359.78)
26,3668;Left Controller;(0.13, 0.71, 5.41);(337.83, 336.19, 4.27)
26,3668;Sponge Cube;(0.17, 0.73, 5.47);(329.94, 222.80, 191.04);True;Right Hand
26,86793;Right Hand Presence Physics;(0.32, 0.78, 5.48);(321.51, 329.53, 352.75)
26,86793;Left Hand Presence Physics;(0.13, 0.71, 5.41);(337.80, 335.88, 4.23)
26,86793;Right Controller;(0.32, 0.78, 5.48);(321.43, 329.95, 352.39)
26,86793;Left Controller;(0.13, 0.71, 5.41);(337.78, 335.85, 4.26)
26,86793;Sponge Cube;(0.18, 0.74, 5.46);(334.95, 226.78, 190.81);True;Right Hand
27,1323;Sponge Cube;(0.18, 0.74, 5.46);(335.63, 226.56, 190.25);False;
27,36905;Right Hand Presence Physics;(0.29, 0.76, 5.47);(324.57, 323.94, 356.74)
27,36905;Left Hand Presence Physics;(0.13, 0.71, 5.41);(337.90, 335.92, 4.12)
27,36905;Right Controller;(0.29, 0.76, 5.47);(324.69, 323.50, 356.87)
27,36905;Left Controller;(0.13, 0.71, 5.41);(337.89, 335.89, 4.11)
27,36905;Sponge Cube;(0.17, 0.74, 5.46);(335.54, 226.42, 190.20);False;
27,87023;Right Hand Presence Physics;(0.29, 0.77, 5.46);(324.40, 322.71, 356.95)
27,87023;Left Hand Presence Physics;(0.13, 0.71, 5.41);(337.65, 335.76, 4.21)
27,87023;Right Controller;(0.29, 0.77, 5.46);(324.40, 322.71, 356.95)
27,87023;Left Controller;(0.13, 0.71, 5.41);(337.66, 335.75, 4.20)
27,87023;Sponge Cube;(0.17, 0.74, 5.46);(335.70, 226.20, 190.43);False;
28,13503;Sponge Cube;(0.17, 0.74, 5.46);(335.59, 226.23, 190.47);True;Right Hand
28,37131;Right Hand Presence Physics;(0.31, 0.79, 5.47);(321.59, 326.19, 355.02)
28,37131;Left Hand Presence Physics;(0.13, 0.71, 5.41);(337.73, 335.89, 4.04)
28,37131;Right Controller;(0.31, 0.79, 5.47);(321.61, 326.17, 355.01)
