Timestamp;Name;Position;Rotation;Grabbed;Hand
4.021529;Left Hand Presence Physics;(0.09, 1.31, 2.31);(359.60, 1.80, 0.00)
4.021529;Right Controller;(0.29, 1.31, 2.30);(359.80, 4.60, 0.00)
4.021529;Left Controller;(0.09, 1.31, 2.31);(359.60, 1.80, 0.00)
4.021529;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
4.521829;Right Hand Presence Physics;(0.32, 1.31, 2.68);(359.80, 4.60, 0.00)
4.521829;Left Hand Presence Physics;(0.12, 1.31, 2.69);(359.60, 1.80, 0.00)
4.521829;Right Controller;(0.32, 1.31, 2.68);(359.80, 4.60, 0.00)
4.521829;Left Controller;(0.12, 1.31, 2.69);(359.60, 1.80, 0.00)
4.521829;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
5.035551;Right Hand Presence Physics;(0.32, 1.15, 3.00);(359.80, 1.00, 0.00)
5.035551;Left Hand Presence Physics;(0.12, 1.15, 3.01);(359.60, 358.20, 0.00)
5.035551;Right Controller;(0.32, 1.15, 3.00);(359.80, 1.00, 0.00)
5.035551;Left Controller;(0.12, 1.15, 3.01);(359.60, 358.20, 0.00)
5.035551;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
5.551099;Right Hand Presence Physics;(0.23, 1.01, 3.53);(359.80, 353.40, 0.00)
5.551099;Left Hand Presence Physics;(0.03, 1.01, 3.50);(359.60, 350.60, 0.00)
5.551099;Right Controller;(0.23, 1.01, 3.53);(359.80, 353.40, 0.00)
5.551099;Left Controller;(0.03, 1.01, 3.50);(359.60, 350.60, 0.00)
5.551099;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
6.051465;Right Hand Presence Physics;(0.17, 0.82, 4.04);(359.80, 353.40, 0.00)
6.051465;Left Hand Presence Physics;(-0.03, 0.82, 4.01);(359.60, 350.60, 0.00)
6.051465;Right Controller;(0.17, 0.82, 4.04);(359.80, 353.40, 0.00)
6.051465;Left Controller;(-0.03, 0.82, 4.01);(359.60, 350.60, 0.00)
6.051465;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
6.555705;Right Hand Presence Physics;(0.11, 0.82, 4.53);(359.80, 353.40, 0.00)
6.555705;Left Hand Presence Physics;(-0.08, 0.82, 4.50);(359.60, 350.60, 0.00)
6.555705;Right Controller;(0.11, 0.82, 4.53);(359.80, 353.40, 0.00)
6.555705;Left Controller;(-0.08, 0.82, 4.50);(359.60, 350.60, 0.00)
6.555705;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
7.069517;Right Hand Presence Physics;(0.11, 0.69, 5.03);(359.80, 359.80, 0.00)
7.069517;Left Hand Presence Physics;(-0.09, 0.69, 5.03);(359.60, 357.00, 0.00)
7.069517;Right Controller;(0.11, 0.69, 5.03);(359.80, 359.80, 0.00)
7.069517;Left Controller;(-0.09, 0.69, 5.03);(359.60, 357.00, 0.00)
7.069517;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
7.569979;Right Hand Presence Physics;(0.02, 0.69, 5.39);(359.80, 345.60, 0.00)
7.569979;Left Hand Presence Physics;(-0.18, 0.69, 5.34);(359.60, 342.80, 0.00)
7.569979;Right Controller;(0.02, 0.69, 5.39);(359.80, 345.60, 0.00)
7.569979;Left Controller;(-0.18, 0.69, 5.34);(359.60, 342.80, 0.00)
7.569979;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
8.071204;Right Hand Presence Physics;(0.04, 0.69, 5.52);(359.80, 357.00, 0.00)
8.071204;Left Hand Presence Physics;(-0.16, 0.69, 5.51);(359.60, 354.20, 0.00)
8.071204;Right Controller;(0.04, 0.69, 5.52);(359.80, 357.00, 0.00)
8.071204;Left Controller;(-0.16, 0.69, 5.51);(359.60, 354.20, 0.00)
8.071204;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
8.572644;Right Hand Presence Physics;(0.04, 0.69, 5.63);(359.80, 357.00, 0.00)
8.572644;Left Hand Presence Physics;(-0.16, 0.69, 5.62);(359.60, 354.20, 0.00)
8.572644;Right Controller;(0.04, 0.69, 5.63);(359.80, 357.00, 0.00)
8.572644;Left Controller;(-0.16, 0.69, 5.62);(359.60, 354.20, 0.00)
8.572644;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
9.0731;Right Hand Presence Physics;(0.04, 0.69, 5.63);(359.80, 357.00, 0.00)
9.0731;Left Hand Presence Physics;(-0.16, 0.69, 5.62);(359.60, 354.20, 0.00)
9.0731;Right Controller;(0.04, 0.69, 5.63);(359.80, 357.00, 0.00)
9.0731;Left Controller;(-0.16, 0.69, 5.62);(359.60, 354.20, 0.00)
9.0731;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
9.574546;Right Hand Presence Physics;(0.04, 0.69, 5.63);(359.80, 357.00, 0.00)
9.574546;Left Hand Presence Physics;(-0.16, 0.69, 5.62);(359.60, 354.20, 0.00)
9.574546;Right Controller;(0.04, 0.69, 5.63);(359.80, 357.00, 0.00)
9.574546;Left Controller;(-0.16, 0.69, 5.62);(359.60, 354.20, 0.00)
9.574546;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
10.07592;Right Hand Presence Physics;(0.04, 0.69, 5.63);(359.80, 357.00, 0.00)
10.07592;Left Hand Presence Physics;(-0.16, 0.69, 5.62);(359.60, 354.20, 0.00)
10.07592;Right Controller;(0.04, 0.69, 5.63);(359.80, 357.00, 0.00)
10.07592;Left Controller;(-0.16, 0.69, 5.62);(359.60, 354.20, 0.00)
10.07592;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
10.57625;Right Hand Presence Physics;(0.04, 0.69, 5.63);(359.80, 357.00, 0.00)
10.57625;Left Hand Presence Physics;(-0.16, 0.69, 5.62);(359.60, 354.20, 0.00)
10.57625;Right Controller;(0.04, 0.69, 5.63);(359.80, 357.00, 0.00)
10.57625;Left Controller;(-0.16, 0.69, 5.62);(359.60, 354.20, 0.00)
10.57625;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
10.65626;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);True;Left Hand
11.07738;Right Hand Presence Physics;(0.04, 0.69, 5.63);(359.80, 357.00, 0.00)
11.07738;Left Hand Presence Physics;(-0.16, 0.69, 5.62);(359.80, 354.20, 0.00)
11.07738;Right Controller;(0.04, 0.69, 5.63);(359.80, 357.00, 0.00)
11.07738;Left Controller;(-0.16, 0.69, 5.62);(359.80, 354.20, 0.00)
11.07738;Rubber Cube;(-0.11, 0.64, 5.65);(0.20, 0.00, 0.02);True;Left Hand
11.57016;Rubber Cube;(-0.11, 0.64, 5.65);(0.20, 0.00, 0.02);True;Right Hand
11.5792;Right Hand Presence Physics;(0.04, 0.69, 5.63);(359.80, 357.00, 0.00)
11.5792;Left Hand Presence Physics;(-0.16, 0.69, 5.62);(359.80, 354.20, 0.00)
11.5792;Right Controller;(0.04, 0.69, 5.63);(359.80, 357.00, 0.00)
11.5792;Left Controller;(-0.16, 0.69, 5.62);(359.80, 354.20, 0.00)
11.5792;Rubber Cube;(-0.11, 0.64, 5.65);(0.20, 0.00, 0.02);True;Right Hand
12.07921;Right Hand Presence Physics;(0.04, 0.69, 5.63);(359.80, 357.00, 0.00)
12.07921;Left Hand Presence Physics;(-0.16, 0.69, 5.62);(359.80, 354.20, 0.00)
12.07921;Right Controller;(0.04, 0.69, 5.63);(359.80, 357.00, 0.00)
12.07921;Left Controller;(-0.16, 0.69, 5.62);(359.80, 354.20, 0.00)
12.07921;Rubber Cube;(-0.11, 0.64, 5.65);(0.20, 3.10, 0.04);True;Right Hand
12.58029;Right Hand Presence Physics;(0.04, 0.69, 5.63);(359.80, 357.00, 0.00)
12.58029;Left Hand Presence Physics;(-0.16, 0.69, 5.62);(359.80, 354.20, 0.00)
12.58029;Right Controller;(0.04, 0.69, 5.63);(359.80, 357.00, 0.00)
12.58029;Left Controller;(-0.16, 0.69, 5.62);(359.80, 354.20, 0.00)
12.58029;Rubber Cube;(-0.11, 0.64, 5.65);(0.20, 3.10, 0.04);True;Right Hand
13.10018;Right Hand Presence Physics;(0.79, 0.69, 5.18);(359.80, 75.80, 0.00)
13.10018;Left Hand Presence Physics;(0.74, 0.69, 5.37);(359.80, 73.00, 0.00)
13.10018;Right Controller;(0.79, 0.69, 5.18);(359.80, 75.80, 0.00)
13.10018;Left Controller;(0.74, 0.69, 5.37);(359.80, 73.00, 0.00)
13.10018;Rubber Cube;(0.79, 0.64, 5.33);(0.20, 81.91, 0.04);True;Right Hand
13.613;Right Hand Presence Physics;(1.32, 0.69, 5.21);(359.80, 76.40, 0.00)
13.613;Left Hand Presence Physics;(1.27, 0.69, 5.40);(359.80, 73.60, 0.00)
13.613;Right Controller;(1.32, 0.69, 5.21);(359.80, 76.40, 0.00)
13.613;Left Controller;(1.27, 0.69, 5.40);(359.80, 73.60, 0.00)
13.613;Rubber Cube;(1.31, 0.64, 5.36);(0.20, 82.51, 0.04);True;Right Hand
14.12329;Right Hand Presence Physics;(1.52, 0.69, 5.83);(359.80, 24.00, 0.00)
14.12329;Left Hand Presence Physics;(1.34, 0.69, 5.92);(359.80, 21.20, 0.00)
14.12329;Right Controller;(1.52, 0.69, 5.83);(359.80, 24.00, 0.00)
14.12329;Left Controller;(1.34, 0.69, 5.92);(359.80, 21.20, 0.00)
14.12329;Rubber Cube;(1.40, 0.64, 5.92);(0.20, 30.11, 0.04);True;Right Hand
14.62731;Right Hand Presence Physics;(1.45, 0.69, 6.40);(359.80, 351.80, 0.00)
14.62731;Left Hand Presence Physics;(1.25, 0.69, 6.38);(359.80, 349.00, 0.00)
14.62731;Right Controller;(1.45, 0.69, 6.40);(359.80, 351.80, 0.00)
14.62731;Left Controller;(1.25, 0.69, 6.38);(359.80, 349.00, 0.00)
14.62731;Rubber Cube;(1.30, 0.64, 6.41);(0.20, 358.39, 0.04);True;Right Hand
15.12972;Right Hand Presence Physics;(1.34, 0.69, 6.90);(359.80, 349.40, 0.00)
15.12972;Left Hand Presence Physics;(1.15, 0.69, 6.87);(359.80, 346.60, 0.00)
15.12972;Right Controller;(1.34, 0.69, 6.90);(359.80, 349.40, 0.00)
15.12972;Left Controller;(1.15, 0.69, 6.87);(359.80, 346.60, 0.00)
15.12972;Rubber Cube;(1.19, 0.64, 6.90);(0.20, 355.50, 0.04);True;Right Hand
15.64352;Right Hand Presence Physics;(1.25, 0.69, 7.41);(359.80, 349.40, 0.00)
15.64352;Left Hand Presence Physics;(1.05, 0.69, 7.37);(359.80, 346.60, 0.00)
15.64352;Right Controller;(1.25, 0.69, 7.41);(359.80, 349.40, 0.00)
15.64352;Left Controller;(1.05, 0.69, 7.37);(359.80, 346.60, 0.00)
15.64352;Rubber Cube;(1.10, 0.64, 7.41);(0.20, 355.50, 0.04);True;Right Hand
16.15544;Right Hand Presence Physics;(1.15, 0.69, 7.91);(359.80, 349.40, 0.00)
16.15544;Left Hand Presence Physics;(0.96, 0.69, 7.87);(359.80, 346.60, 0.00)
16.15544;Right Controller;(1.15, 0.69, 7.91);(359.80, 349.40, 0.00)
16.15544;Left Controller;(0.96, 0.69, 7.87);(359.80, 346.60, 0.00)
16.15544;Rubber Cube;(1.00, 0.64, 7.91);(0.20, 355.50, 0.04);True;Right Hand
16.66808;Right Hand Presence Physics;(0.87, 0.69, 8.44);(359.80, 297.40, 0.00)
16.66808;Left Hand Presence Physics;(0.77, 0.69, 8.27);(359.80, 294.60, 0.00)
16.66808;Right Controller;(0.87, 0.69, 8.44);(359.80, 297.40, 0.00)
16.66808;Left Controller;(0.77, 0.69, 8.27);(359.80, 294.60, 0.00)
16.66808;Rubber Cube;(0.77, 0.64, 8.32);(0.20, 303.85, 0.04);True;Right Hand
17.18048;Right Hand Presence Physics;(0.51, 0.69, 9.04);(359.80, 285.00, 0.00)
17.18048;Left Hand Presence Physics;(0.46, 0.69, 8.85);(359.80, 282.20, 0.00)
17.18048;Right Controller;(0.51, 0.69, 9.04);(359.80, 285.00, 0.00)
17.18048;Left Controller;(0.46, 0.69, 8.85);(359.80, 282.20, 0.00)
17.18048;Rubber Cube;(0.44, 0.64, 8.91);(0.20, 291.10, 0.04);True;Right Hand
17.7013;Right Hand Presence Physics;(0.36, 0.69, 9.81);(359.80, 325.99, 0.00)
17.7013;Left Hand Presence Physics;(0.19, 0.69, 9.70);(359.80, 323.19, 0.00)
17.7013;Right Controller;(0.36, 0.69, 9.81);(359.80, 326.00, 0.00)
17.7013;Left Controller;(0.19, 0.69, 9.70);(359.80, 323.20, 0.00)
17.7013;Rubber Cube;(0.22, 0.64, 9.76);(0.20, 332.10, 0.04);True;Right Hand
18.22467;Right Hand Presence Physics;(0.65, 0.69, 10.52);(359.80, 334.80, 0.00)
18.22467;Left Hand Presence Physics;(0.46, 0.69, 10.43);(359.80, 332.00, 0.00)
18.22467;Right Controller;(0.65, 0.69, 10.52);(359.80, 334.80, 0.00)
18.22467;Left Controller;(0.46, 0.69, 10.43);(359.80, 332.00, 0.00)
18.22467;Rubber Cube;(0.50, 0.64, 10.48);(0.20, 340.90, 0.04);True;Right Hand
18.73171;Right Hand Presence Physics;(0.89, 0.69, 11.21);(359.80, 334.80, 0.00)
18.73171;Left Hand Presence Physics;(0.71, 0.69, 11.12);(359.80, 332.00, 0.00)
18.73171;Right Controller;(0.89, 0.69, 11.21);(359.80, 334.80, 0.00)
18.73171;Left Controller;(0.71, 0.69, 11.12);(359.80, 332.00, 0.00)
18.73171;Rubber Cube;(0.75, 0.64, 11.17);(0.20, 340.90, 0.04);True;Right Hand
19.24672;Right Hand Presence Physics;(1.14, 0.69, 11.89);(359.80, 334.80, 0.00)
19.24672;Left Hand Presence Physics;(0.96, 0.69, 11.81);(359.80, 332.00, 0.00)
19.24672;Right Controller;(1.14, 0.69, 11.89);(359.80, 334.80, 0.00)
19.24672;Left Controller;(0.96, 0.69, 11.81);(359.80, 332.00, 0.00)
19.24672;Rubber Cube;(0.99, 0.64, 11.85);(0.20, 340.90, 0.04);True;Right Hand
19.75204;Right Hand Presence Physics;(1.33, 0.69, 12.57);(359.80, 330.00, 0.00)
19.75204;Left Hand Presence Physics;(1.16, 0.69, 12.47);(359.80, 327.20, 0.00)
19.75204;Right Controller;(1.33, 0.69, 12.57);(359.80, 330.00, 0.00)
19.75204;Left Controller;(1.16, 0.69, 12.47);(359.80, 327.20, 0.00)
19.75204;Rubber Cube;(1.19, 0.64, 12.52);(0.20, 336.10, 0.04);True;Right Hand
20.2535;Right Hand Presence Physics;(1.46, 0.69, 13.25);(359.80, 325.00, 0.00)
20.2535;Left Hand Presence Physics;(1.30, 0.69, 13.14);(359.80, 322.20, 0.00)
20.2535;Right Controller;(1.46, 0.69, 13.25);(359.80, 325.00, 0.00)
20.2535;Left Controller;(1.30, 0.69, 13.14);(359.80, 322.20, 0.00)
20.2535;Rubber Cube;(1.32, 0.64, 13.19);(0.20, 331.10, 0.04);True;Right Hand
20.76506;Right Hand Presence Physics;(1.55, 0.69, 13.96);(359.80, 322.40, 0.00)
20.76506;Left Hand Presence Physics;(1.39, 0.69, 13.84);(359.80, 319.60, 0.00)
20.76506;Right Controller;(1.55, 0.69, 13.96);(359.80, 322.40, 0.00)
20.76506;Left Controller;(1.39, 0.69, 13.84);(359.80, 319.60, 0.00)
20.76506;Rubber Cube;(1.42, 0.64, 13.90);(0.20, 328.50, 0.04);True;Right Hand
21.26941;Right Hand Presence Physics;(1.64, 0.69, 14.67);(359.80, 322.40, 0.00)
21.26941;Left Hand Presence Physics;(1.49, 0.69, 14.55);(359.80, 319.60, 0.00)
21.26941;Right Controller;(1.64, 0.69, 14.67);(359.80, 322.40, 0.00)
21.26941;Left Controller;(1.49, 0.69, 14.55);(359.80, 319.60, 0.00)
21.26941;Rubber Cube;(1.51, 0.64, 14.60);(0.20, 328.50, 0.04);True;Right Hand
21.57707;Rubber Cube;(1.56, 0.64, 15.03);(0.20, 328.50, 0.04);False;
21.78076;Right Hand Presence Physics;(1.77, 0.69, 15.61);(359.80, 322.40, 0.00)
21.78076;Left Hand Presence Physics;(1.61, 0.69, 15.49);(359.80, 319.60, 0.00)
21.78076;Right Controller;(1.77, 0.69, 15.65);(359.80, 322.40, 0.00)
21.78076;Left Controller;(1.61, 0.69, 15.52);(359.80, 319.60, 0.00)
21.78076;Rubber Cube;(1.74, 0.64, 15.56);(0.20, 328.50, 0.04);False;
22.28108;Right Hand Presence Physics;(1.93, 0.69, 16.85);(359.80, 322.40, 0.00)
22.28108;Left Hand Presence Physics;(1.77, 0.69, 16.73);(359.40, 304.40, 0.00)
22.28108;Right Controller;(1.93, 0.69, 16.89);(359.80, 322.40, 0.00)
22.28108;Left Controller;(1.77, 0.69, 16.76);(359.40, 304.40, 0.00)
22.28108;Rubber Cube;(1.90, 0.64, 16.80);(0.20, 328.50, 0.04);False;
22.78211;Right Hand Presence Physics;(1.93, 0.69, 17.08);(359.80, 322.40, 0.00)
22.78211;Left Hand Presence Physics;(1.77, 0.69, 16.96);(359.20, 278.40, 0.00)
22.78211;Right Controller;(1.93, 0.69, 17.08);(359.80, 322.40, 0.00)
22.78211;Left Controller;(1.77, 0.69, 16.96);(359.20, 278.40, 0.00)
22.78211;Rubber Cube;(1.90, 0.64, 17.03);(0.20, 328.50, 0.04);False;
23.28299;Right Hand Presence Physics;(1.93, 0.69, 17.08);(359.80, 322.40, 0.00)
23.28299;Left Hand Presence Physics;(1.77, 0.69, 16.96);(1.60, 313.60, 0.00)
23.28299;Right Controller;(1.93, 0.69, 17.08);(359.80, 322.40, 0.00)
23.28299;Left Controller;(1.77, 0.69, 16.96);(1.60, 313.60, 0.00)
23.28299;Rubber Cube;(1.90, 0.64, 17.03);(0.20, 328.50, 0.04);False;
23.78577;Right Hand Presence Physics;(1.46, 0.69, 17.69);(359.80, 322.40, 0.00)
23.78577;Left Hand Presence Physics;(1.30, 0.69, 17.57);(8.00, 315.80, 0.00)
23.78577;Right Controller;(1.43, 0.69, 17.72);(359.80, 322.40, 0.00)
23.78577;Left Controller;(1.27, 0.69, 17.60);(8.00, 315.80, 0.00)
23.78577;Rubber Cube;(1.43, 0.64, 17.65);(0.20, 328.50, 0.04);False;
24.28657;Right Hand Presence Physics;(1.15, 0.69, 18.09);(359.80, 322.40, 0.00)
24.28657;Left Hand Presence Physics;(0.99, 0.69, 17.96);(21.20, 309.60, 0.00)
24.28657;Right Controller;(1.13, 0.69, 18.12);(359.80, 322.40, 0.00)
24.28657;Left Controller;(0.97, 0.69, 17.99);(21.20, 309.60, 0.00)
24.28657;Rubber Cube;(1.13, 0.64, 18.03);(0.20, 328.50, 0.04);False;
24.36944;Rubber Cube;(1.03, 0.64, 18.21);(0.20, 328.50, 0.04);False;
24.79141;Right Hand Presence Physics;(1.37, 0.69, 18.45);(341.80, 206.59, 0.00)
24.79141;Left Hand Presence Physics;(1.53, 0.69, 18.58);(23.19, 132.20, 0.01)
24.79141;Right Controller;(1.37, 0.69, 18.41);(341.80, 206.60, 0.00)
24.79141;Left Controller;(1.52, 0.69, 18.54);(23.20, 132.20, 0.00)
24.79141;Rubber Cube;(0.32, 0.20, 19.20);(22.03, 328.71, 1.59);False;
25.29811;Right Hand Presence Physics;(0.98, 0.71, 17.56);(333.19, 245.08, 339.41)
25.29811;Left Hand Presence Physics;(0.80, 0.68, 17.96);(327.66, 300.39, 42.78)
25.29811;Right Controller;(0.97, 0.69, 18.09);(349.20, 353.60, 0.00)
25.29811;Left Controller;(0.81, 0.69, 17.97);(23.20, 312.20, 0.00)
25.29811;Rubber Cube;(0.34, 0.07, 19.19);(358.64, 323.74, 5.01);False;
25.80978;Right Hand Presence Physics;(1.19, 0.69, 19.21);(349.80, 351.40, 0.00)
25.80978;Left Hand Presence Physics;(1.03, 0.69, 19.08);(23.20, 312.20, 0.01)
25.80978;Right Controller;(1.19, 0.69, 19.24);(349.80, 351.40, 0.00)
25.80978;Left Controller;(1.04, 0.69, 19.12);(23.20, 312.20, 0.00)
25.80978;Rubber Cube;(0.68, 0.05, 18.75);(270.91, 172.13, 127.01);False;
26.31764;Right Hand Presence Physics;(1.34, 0.69, 18.02);(350.00, 170.40, 0.00)
26.31764;Left Hand Presence Physics;(1.50, 0.69, 18.14);(23.20, 132.20, 0.00)
26.31764;Right Controller;(1.33, 0.69, 17.98);(350.00, 170.40, 0.00)
26.31764;Left Controller;(1.49, 0.69, 18.11);(23.20, 132.20, 0.00)
26.31764;Rubber Cube;(0.68, 0.05, 18.74);(270.00, 299.14, 0.00);False;
26.83201;Right Hand Presence Physics;(1.12, 0.69, 16.86);(350.00, 170.40, 0.00)
26.83201;Left Hand Presence Physics;(1.27, 0.69, 16.98);(23.20, 132.20, 0.00)
26.83201;Right Controller;(1.11, 0.69, 16.83);(350.00, 170.40, 0.00)
26.83201;Left Controller;(1.27, 0.69, 16.95);(23.20, 132.20, 0.00)
26.83201;Rubber Cube;(0.68, 0.05, 18.74);(270.00, 299.14, 0.00);False;
27.34634;Right Hand Presence Physics;(0.89, 0.69, 15.71);(350.00, 170.40, 0.00)
27.34634;Left Hand Presence Physics;(1.05, 0.69, 15.83);(23.20, 132.20, 0.00)
27.34634;Right Controller;(0.89, 0.69, 15.67);(350.00, 170.40, 0.00)
27.34634;Left Controller;(1.05, 0.69, 15.79);(23.20, 132.20, 0.00)
27.34634;Rubber Cube;(0.68, 0.05, 18.74);(270.00, 299.14, 0.00);False;
27.85701;Right Hand Presence Physics;(0.69, 0.69, 14.59);(322.20, 158.80, 0.00)
27.85701;Left Hand Presence Physics;(0.85, 0.69, 14.71);(23.20, 132.20, 0.00)
27.85701;Right Controller;(0.67, 0.69, 14.50);(322.20, 158.80, 0.00)
27.85701;Left Controller;(0.83, 0.69, 14.63);(23.20, 132.20, 0.00)
27.85701;Rubber Cube;(0.68, 0.05, 18.74);(270.00, 299.14, 0.00);False;
28.36435;Right Hand Presence Physics;(0.51, 0.69, 13.29);(322.20, 158.80, 0.00)
28.36435;Left Hand Presence Physics;(0.67, 0.69, 13.41);(23.20, 132.20, 0.00)
28.36435;Right Controller;(0.51, 0.69, 13.25);(322.20, 158.80, 0.00)
28.36435;Left Controller;(0.67, 0.69, 13.37);(23.20, 132.20, 0.00)
28.36435;Rubber Cube;(0.68, 0.05, 18.74);(270.00, 299.14, 0.00);False;
